website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,"Error: HTTPSConnectionPool(host='gg16.bet', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['188.164.158.108'],42.0,300.0,0.2745370864868164,False,
latinboyz.com,"Error: HTTPSConnectionPool(host='latinboyz.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['135.148.2.200'],47.0,300.0,0.24717998504638672,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,14399.0,0.14069700241088867,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['184.94.149.216'],48.0,21600.0,0.3001668453216553,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fe3069c4ca0>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,910.0,0.09724783897399902,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['35.227.194.51', '34.120.190.48', '35.190.31.54', '34.160.17.71']",94.0,30.0,0.09619879722595215,False,
kikoushi.jp,"Error: HTTPSConnectionPool(host='kikoushi.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['124.35.41.253'],45.0,1200.0,0.3703639507293701,False,
1x2stats.com,"Error: HTTPSConnectionPool(host='1x2stats.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['34.250.235.194'],46.0,3600.0,0.11086177825927734,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,300.0,0.10671782493591309,False,
indianporn.cam,"Error: HTTPSConnectionPool(host='indianporn.cam', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['62.122.168.59'],48.0,2241.0,0.07927989959716797,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,894.0,0.06364989280700684,False,
rajacuansuper9.com,"Error: HTTPSConnectionPool(host='rajacuansuper9.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.21.72.182', '172.67.153.216']",68.0,300.0,0.15263700485229492,False,
angryorchard.com,"Error: HTTPSConnectionPool(host='angryorchard.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['13.107.246.40'],50.0,1784.0,0.06329488754272461,False,
goshango.com,Accessible (Status Code: 200),0.0,"['172.67.68.157', '104.26.13.54', '104.26.12.54']",78.0,284.0,0.07503700256347656,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['188.114.96.7', '188.114.97.7']",61.0,300.0,0.1589372158050537,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",65.0,300.0,0.0688180923461914,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['104.21.69.44', '172.67.204.84']",62.0,300.0,0.1103050708770752,False,
vrcbet.com,"Error: HTTPSConnectionPool(host='vrcbet.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe306978430>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739800572 1800 900 604800 900'],101.0,900.0,0.12360501289367676,False,
virtual-horizon.com,"Error: HTTPSConnectionPool(host='virtual-horizon.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe30698cf40>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2365069932 10000 2400 604800 1800'],100.0,1800.0,0.08036398887634277,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,1799.0,0.08711409568786621,False,
passionmanga.online,Blocked - Client Error (Status Code: 403),0.0,"['104.21.16.1', '104.21.112.1', '104.21.96.1', '104.21.64.1', '104.21.80.1', '104.21.32.1', '104.21.48.1']",149.0,300.0,0.1208341121673584,False,
craftshack.com,"Error: HTTPSConnectionPool(host='craftshack.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['23.227.38.32'],48.0,600.0,0.12008094787597656,False,
ore-aroma.jp,"Error: HTTPSConnectionPool(host='ore-aroma.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['133.18.78.138'],46.0,3600.0,0.3708832263946533,False,
lottomat.com,"Error: HTTPSConnectionPool(host='lottomat.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['172.67.222.159', '104.21.46.23']",62.0,300.0,0.10720109939575195,False,
smsm.ph,Accessible (Status Code: 200),0.0,"['13.248.251.78', '99.83.162.94']",57.0,283.0,0.10588693618774414,False,
read-lookism.com,Accessible (Status Code: 200),0.0,"['172.67.159.190', '104.21.9.105']",66.0,283.0,0.0637049674987793,False,
bangbrosteenporn.com,"Error: HTTPSConnectionPool(host='bangbrosteenporn.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.26.0.208', '104.26.1.208', '172.67.71.32']",86.0,300.0,0.12707018852233887,False,
kuro-ai.com,"Error: HTTPSConnectionPool(host='kuro-ai.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.26.6.8', '104.26.7.8', '172.67.70.159']",77.0,300.0,0.09016084671020508,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['104.21.31.197', '172.67.179.166']",66.0,300.0,0.09670209884643555,False,
lauxanh.one,Blocked - Client Error (Status Code: 404),0.0,"['104.21.95.38', '172.67.142.195']",61.0,282.0,0.09488797187805176,False,
zooporn.video,"Error: HTTPSConnectionPool(host='zooporn.video', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.21.96.1', '104.21.112.1', '104.21.16.1', '104.21.80.1', '104.21.32.1', '104.21.48.1', '104.21.64.1']",143.0,300.0,0.07888007164001465,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,18910.0,0.06619095802307129,False,
