website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 404),0.0,['188.164.158.108'],42.0,298.0,0.14396405220031738,False,
latinboyz.com,Accessible (Status Code: 200),0.0,['135.148.2.200'],47.0,297.0,0.1329667568206787,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,14397.0,0.1243741512298584,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.customercare.co', 'customercare.co'"")))",0.0,['184.94.149.216'],48.0,86397.0,0.16993999481201172,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f92b4dfab50>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,3585.0,0.10268092155456543,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['35.244.153.44', '34.160.17.71', '34.160.81.203', '35.227.194.51']",94.0,15.0,0.09881091117858887,False,
kikoushi.jp,Accessible (Status Code: 200),0.0,['124.35.41.253'],45.0,1185.0,0.0965719223022461,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,3584.0,0.10142302513122559,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,284.0,0.0920100212097168,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,3584.0,0.09516429901123047,False,
flotter-dampfer.de,"Error: HTTPSConnectionPool(host='www.flotter-dampfer.de', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f92b4dbbe50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['89.107.190.20'],52.0,3584.0,0.10268497467041016,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['172.67.153.216', '104.21.72.182']",68.0,284.0,0.13163423538208008,False,
angryorchard.com,Accessible (Status Code: 200),0.0,['13.107.246.40'],50.0,1784.0,0.09554886817932129,False,
goshango.com,Accessible (Status Code: 200),0.0,"['104.26.12.54', '172.67.68.157', '104.26.13.54']",78.0,284.0,0.0920870304107666,False,
