https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 200,6652,"[('0.0', 6651)]","[('104.21.64.1', 703), ('104.21.112.1', 703), ('104.21.16.1', 703)]",4372
Status Code: 403,1302,"[('0.0', 1301)]","[('104.21.16.1', 153), ('104.21.96.1', 153), ('104.21.112.1', 153)]",1173
Connection Errors,921,"[('0.0', 621), ('3.0', 203), ('2.0', 76)]","[('195.2.84.111', 16), ('127.0.0.1', 9), ('104.21.16.1', 8)]",4775
Timeout Errors,225,"[('0.0', 225)]","[('104.21.112.1', 20), ('104.21.64.1', 20), ('104.21.96.1', 20)]",5865
Dismatch,137,"[('0.0', 137)]","[('152.53.67.90', 3), ('103.224.182.210', 3), ('207.154.224.200', 2)]",11802
Status Code: 404,107,"[('0.0', 107)]","[('104.21.48.1', 8), ('104.21.64.1', 8), ('104.21.32.1', 8)]",4288
connection without response,91,"[('0.0', 90)]","[('72.52.178.23', 39), ('69.16.230.165', 23), ('72.52.179.174', 3)]",11058
Certificate expired,70,"[('0.0', 70)]","[('35.221.175.82', 6), ('39.110.250.2', 3), ('188.166.241.70', 2)]",7610
self signed certificate,51,"[('0.0', 51)]","[('69.16.230.165', 2), ('147.92.146.242', 2), ('162.244.35.53', 2)]",10464
Status Code: 406,44,"[('0.0', 44)]","[('185.98.55.81', 16), ('88.208.20.10', 16), ('scashwl.com.', 5)]",4957
Status Code: 410,35,"[('0.0', 35)]","[('75.2.37.224', 5), ('75.2.18.233', 3), ('185.53.177.51', 2)]",924
Status Code: 520,34,"[('0.0', 34)]","[('104.21.16.1', 7), ('104.21.32.1', 7), ('104.21.112.1', 7)]",193
unable to get local issuer certificate,31,"[('0.0', 31)]","[('153.120.10.22', 2), ('153.120.10.24', 2), ('80.82.76.121', 1)]",7327
reset by peer,30,"[('0.0', 30)]","[('185.213.91.19', 2), ('213.186.33.5', 2), ('185.213.91.161', 2)]",4505
Status Code: 203,28,"[('0.0', 28)]","[('185.225.114.106', 2), ('207.5.194.234', 2), ('212.23.222.98', 2)]",19255
(Status Code: 500),27,"[('0.0', 27)]","[('104.21.16.1', 6), ('104.21.96.1', 6), ('104.21.48.1', 6)]",685
(Status Code: 429),20,"[('0.0', 20)]","[('109.206.162.36', 3), ('109.206.167.145', 3), ('109.206.162.41', 2)]",8511
(Status Code: 503),17,"[('0.0', 17)]","[('85.184.96.0', 4), ('104.21.96.1', 4), ('104.21.16.1', 4)]",4057
Exceeded 30 redirects.,16,"[('0.0', 16)]","[('104.21.112.1', 6), ('104.21.48.1', 6), ('104.21.80.1', 6)]",708
of protocol (_ssl.c:1129)'))),16,"[('0.0', 16)]","[('35.190.1.20', 8), ('216.239.32.21', 4), ('216.239.34.21', 4)]",1914
(Status Code: 526),15,"[('0.0', 15)]","[('188.114.97.0', 6), ('188.114.96.0', 6), ('104.21.32.1', 2)]",176
(Status Code: 436),13,"[('0.0', 13)]","[('91.195.240.12', 7), ('64.190.63.222', 3), ('91.195.240.123', 1)]",4146
(Status Code: 405),13,"[('0.0', 13)]","[('18.239.69.77', 2), ('18.239.69.84', 2), ('18.239.69.54', 2)]",388
handshake failure,13,"[('0.0', 13)]","[('45.81.58.38', 2), ('18.239.18.73', 1), ('18.239.18.124', 1)]",620
(Status Code: 521),11,"[('0.0', 11)]","[('188.114.97.0', 3), ('188.114.96.0', 3), ('104.21.96.1', 2)]",201
(Status Code: 523),11,"[('0.0', 11)]","[('188.114.97.0', 2), ('188.114.96.0', 2), ('188.114.97.3', 1)]",174
(Status Code: 502),10,"[('0.0', 10)]","[('190.115.31.234', 1), ('190.115.31.233', 1), ('188.166.45.190', 1)]",893
internal error (_ssl.c:1129)'))),7,"[('0.0', 7)]","[('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1), ('blogct420x.fc2.me.', 1)]",1082
(Status Code: 451),7,"[('0.0', 7)]","[('185.197.162.135', 1), ('104.21.48.179', 1), ('172.67.155.86', 1)]",665
(Status Code: 530),6,"[('0.0', 6)]","[('104.21.9.155', 1), ('172.67.160.66', 1), ('188.114.97.0', 1)]",440
version number (_ssl.c:1129)'))),5,"[('0.0', 5)]","[('133.18.10.166', 1), ('99.192.136.234', 1), ('77.83.173.245', 1)]",287
(Status Code: 202),4,"[('0.0', 4)]","[('99.86.4.111', 2), ('99.86.4.7', 2), ('99.86.4.128', 2)]",81
(Status Code: 400),4,"[('0.0', 4)]","[('104.21.96.1', 2), ('104.21.64.1', 2), ('104.21.80.1', 2)]",190
unrecognized name (_ssl.c:1129)'))),4,"[('0.0', 4)]","[('77980.bodis.com.', 2), ('199.59.243.228', 2), ('89.31.143.90', 1)]",1045
(Status Code: 401),3,"[('0.0', 3)]","[('185.104.211.35', 1), ('172.67.148.53', 1), ('104.21.41.157', 1)]",201
(Status Code: 418),3,"[('0.0', 3)]","[('78.111.102.100', 1), ('64.181.171.13', 1), ('188.114.96.0', 1)]",153
(Status Code: 204),3,"[('0.0', 3)]","[('65.109.24.247', 2), ('136.243.42.50', 2), ('193.108.117.211', 2)]",411
(Status Code: 402),2,"[('0.0', 2)]","[('89.208.113.5', 1), ('78.129.150.19', 1)]",182
(Status Code: 423),2,"[('0.0', 2)]","[('185.235.178.5', 2), ('185.224.82.237', 1)]",3588
than 100 headers')),1,"[('0.0', 1)]","[('172.64.145.206', 1), ('104.18.42.50', 1)]",180
(Status Code: 444),1,"[('0.0', 1)]","[('104.21.94.102', 1), ('172.67.222.89', 1)]",120
(Status Code: 504),1,"[('0.0', 1)]","[('cbpay888.com.w.cdngslb.com.', 1), ('47.246.48.221', 1), ('47.246.48.224', 1)]",60
(Status Code: 447),1,"[('0.0', 1)]","[('37.187.135.97', 1)]",1678
(Status Code: 999),1,"[('0.0', 1)]","[('104.21.90.205', 1), ('172.67.161.42', 1)]",169
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.96.1', 1), ('104.21.112.1', 1), ('104.21.80.1', 1)]",189
or too long,1,[],[],0
(Status Code: 522),1,"[('0.0', 1)]","[('188.114.97.0', 1), ('188.114.96.0', 1)]",233
(Status Code: 302),1,"[('0.0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",3
(Status Code: 468),1,"[('0.0', 1)]","[('netflixgc.com.cdn.fun.', 1), ('51.79.19.142', 1)]",60
SSL Errors,0,[],[],0
