website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 404),0.0,['188.164.158.108'],42.0,298.0,0.21954822540283203,False,
latinboyz.com,Accessible (Status Code: 200),0.0,['135.148.2.200'],47.0,299.0,0.19554901123046875,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,14398.0,0.14034509658813477,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.customercare.co', 'customercare.co'"")))",0.0,['184.94.149.216'],48.0,86398.0,0.18792295455932617,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fd4dfc9c220>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,3585.0,0.14554810523986816,False,
vapebazar.de,"Error: HTTPSConnectionPool(host='www.vapebazar.de', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd4e0834c10>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,"['34.149.120.3', '35.244.153.44', '35.227.194.51', '34.120.190.48']",94.0,14.0,0.17110395431518555,False,
kikoushi.jp,Accessible (Status Code: 200),0.0,['124.35.41.253'],45.0,1185.0,0.1501479148864746,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,3584.0,0.14586496353149414,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,284.0,0.11879491806030273,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,3583.0,0.14928603172302246,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,3584.0,0.22159695625305176,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['104.21.72.182', '172.67.153.216']",68.0,284.0,0.2847409248352051,False,
angryorchard.com,Accessible (Status Code: 200),0.0,['13.107.246.40'],50.0,1784.0,0.1523268222808838,False,
goshango.com,Accessible (Status Code: 200),0.0,"['172.67.68.157', '104.26.12.54', '104.26.13.54']",78.0,284.0,0.12047076225280762,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['188.114.96.0', '188.114.97.0']",61.0,283.0,0.11465597152709961,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['188.114.97.0', '188.114.96.0']",65.0,283.0,0.12417483329772949,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['172.67.204.84', '104.21.69.44']",62.0,283.0,0.1425621509552002,False,
vrcbet.com,"Error: HTTPSConnectionPool(host='vrcbet.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd4dfcbf910>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739784557 1800 900 604800 900'],101.0,900.0,0.1392500400543213,False,
virtual-horizon.com,"Error: HTTPSConnectionPool(host='virtual-horizon.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd4dfcc96a0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2365069932 10000 2400 604800 1800'],100.0,1783.0,0.10984301567077637,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,1782.0,0.12810325622558594,False,
passionmanga.online,Accessible (Status Code: 200),0.0,"['104.21.96.1', '104.21.16.1', '104.21.64.1', '104.21.48.1', '104.21.112.1', '104.21.80.1', '104.21.32.1']",149.0,283.0,0.12025880813598633,False,
craftshack.com,Accessible (Status Code: 200),0.0,['23.227.38.32'],48.0,583.0,0.11870002746582031,False,
