https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 200,6715,"[('0.0', 6040), ('0', 675)]","[('104.21.96.1', 708), ('104.21.16.1', 708), ('104.21.64.1', 708)]",4494
Status Code: 403,1304,"[('0.0', 1185), ('0', 118)]","[('104.21.16.1', 152), ('104.21.32.1', 152), ('104.21.112.1', 152)]",1182
Connection Errors,850,"[('0.0', 498), ('3.0', 185), ('2.0', 68), ('0', 52), ('3', 18), ('2', 6)]","[('195.2.84.111', 16), ('127.0.0.1', 9), ('a0.nic.bet. hostmaster.donuts.email. 1739786325 7200 900 1209600 3600', 7)]",3702
Timeout Errors,223,"[('0.0', 223), ('0', 12)]","[('174.137.145.52', 3), ('165.160.15.20', 3), ('111.90.148.38', 3)]",8094
Dismatch,138,"[('0.0', 126), ('0', 12)]","[('52.223.39.56', 3), ('152.53.67.90', 3), ('103.224.182.210', 3)]",12375
Status Code: 404,107,"[('0.0', 93), ('0', 14)]","[('104.21.16.1', 8), ('104.21.32.1', 8), ('104.21.112.1', 8)]",4256
connection without response,91,"[('0.0', 80), ('0', 11)]","[('72.52.178.23', 39), ('69.16.230.165', 25), ('72.52.179.174', 4)]",11283
Certificate expired,77,"[('0.0', 72), ('0', 5)]","[('35.221.175.82', 6), ('39.110.250.2', 5), ('188.166.241.70', 3)]",7553
self signed certificate,45,"[('0.0', 40), ('0', 5)]","[('69.16.230.165', 2), ('5.45.73.205', 2), ('147.92.146.242', 2)]",11915
Status Code: 406,44,"[('0.0', 35), ('0', 9)]","[('88.208.20.10', 16), ('185.98.55.81', 16), ('scashwl.com.', 5)]",4940
Status Code: 520,36,"[('0.0', 28), ('0', 8)]","[('104.21.32.1', 8), ('104.21.112.1', 8), ('104.21.64.1', 8)]",167
reset by peer,33,"[('0.0', 28), ('0', 5)]","[('45.84.0.207', 2), ('185.213.91.19', 2), ('213.186.33.5', 2)]",4200
Status Code: 410,30,"[('0.0', 25), ('0', 5)]","[('75.2.37.224', 7), ('75.2.18.233', 3), ('5.61.52.167', 2)]",1127
unable to get local issuer certificate,30,"[('0.0', 25), ('0', 5)]","[('153.120.10.24', 2), ('153.120.10.22', 2), ('80.82.76.121', 1)]",7422
Status Code: 500,28,"[('0.0', 27), ('0', 1)]","[('104.21.16.1', 6), ('104.21.112.1', 6), ('104.21.32.1', 6)]",581
Status Code: 203,28,"[('0.0', 24), ('0', 4)]","[('45.155.53.149', 2), ('78.40.116.13', 2), ('179.43.172.163', 2)]",19232
Status Code: 503,20,"[('0.0', 18), ('0', 2)]","[('85.184.96.0', 5), ('104.21.48.1', 4), ('104.21.80.1', 4)]",8254
Status Code: 429,19,"[('0.0', 19)]","[('109.206.162.36', 3), ('109.206.167.145', 3), ('109.206.162.41', 2)]",8758
violation of protocol,17,"[('0.0', 17)]","[('35.190.1.20', 9), ('216.239.32.21', 4), ('216.239.34.21', 4)]",1755
(Status Code: 526),15,"[('0.0', 14), ('0', 1)]","[('188.114.96.0', 5), ('188.114.97.0', 5), ('104.21.16.1', 2)]",146
Exceeded 30 redirects.,15,"[('0.0', 13), ('0', 2)]","[('104.21.48.1', 5), ('104.21.32.1', 5), ('104.21.64.1', 5)]",698
(Status Code: 436),13,"[('0.0', 10), ('0', 3)]","[('91.195.240.12', 7), ('64.190.63.222', 3), ('91.195.240.123', 1)]",4105
(Status Code: 405),13,"[('0.0', 13)]","[('18.239.69.52', 2), ('18.239.69.54', 2), ('18.239.69.84', 2)]",384
(Status Code: 521),12,"[('0.0', 11), ('0', 1)]","[('104.21.16.1', 2), ('104.21.64.1', 2), ('104.21.80.1', 2)]",164
handshake failure,12,"[('0.0', 9), ('0', 3)]","[('45.81.58.38', 2), ('18.239.18.10', 1), ('18.239.18.73', 1)]",593
(Status Code: 502),11,"[('0.0', 11)]","[('104.21.16.1', 2), ('104.21.112.1', 2), ('104.21.32.1', 2)]",798
(Status Code: 523),11,"[('0.0', 8), ('0', 3)]","[('188.114.96.0', 2), ('188.114.97.0', 2), ('172.67.74.24', 1)]",126
(Status Code: 451),9,"[('0.0', 9)]","[('45.60.111.67', 2), ('107.154.133.67', 2), ('185.197.162.135', 1)]",531
internal error (_ssl.c:1129)'))),7,"[('0.0', 6), ('0', 1)]","[('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1), ('blogct420x.fc2.me.', 1)]",1037
