https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 200,6677,"[('0.0', 6677)]","[('104.21.80.1', 707), ('104.21.32.1', 707), ('104.21.96.1', 707)]",4498
Status Code: 403,1281,"[('0.0', 1280)]","[('104.21.16.1', 152), ('104.21.96.1', 152), ('104.21.80.1', 152)]",1312
Connection Errors,927,"[('0.0', 628), ('3.0', 203), ('2.0', 73)]","[('195.2.84.111', 16), ('127.0.0.1', 9), ('104.21.16.1', 8)]",4295
Dismatch,139,"[('0.0', 139)]","[('152.53.67.90', 3), ('103.224.182.210', 3), ('8.8.8.8', 2)]",11609
Timeout Errors,217,"[('0.0', 217)]","[('174.137.145.52', 3), ('165.160.15.20', 3), ('111.90.148.38', 3)]",8265
Status Code: 404,101,"[('0.0', 101)]","[('104.21.64.1', 8), ('104.21.48.1', 8), ('104.21.112.1', 8)]",1987
connection without response,90,"[('0.0', 90)]","[('72.52.178.23', 40), ('69.16.230.165', 23), ('72.52.179.174', 3)]",11082
Certificate expired,78,"[('0.0', 78)]","[('35.221.175.82', 6), ('39.110.250.2', 5), ('188.166.241.70', 3)]",7542
Self signed certificate,48,"[('0.0', 48)]","[('69.16.230.165', 2), ('5.45.73.205', 2), ('147.92.146.242', 2)]",9747
Status Code: 406,41,"[('0.0', 41)]","[('88.208.20.10', 13), ('185.98.55.81', 13), ('151.101.65.91', 5)]",5302
Status Code: 410,35,"[('0.0', 35)]","[('75.2.37.224', 6), ('75.2.18.233', 3), ('185.53.177.51', 2)]",1188
Status Code: 520,35,"[('0.0', 35)]","[('104.21.96.1', 8), ('104.21.48.1', 8), ('104.21.32.1', 8)]",176
Status Code: 203,30,"[('0.0', 30)]","[('212.23.222.98', 2), ('45.155.53.149', 2), ('78.40.116.13', 2)]",17960
reset by peer,29,"[('0.0', 29)]","[('45.84.0.207', 2), ('185.213.91.19', 2), ('213.186.33.5', 2)]",3899
Status Code: 500,28,"[('0.0', 28)]","[('104.21.96.1', 6), ('104.21.80.1', 6), ('104.21.48.1', 6)]",760
SSL Errors,28,"[('0.0', 28)]","[('153.120.10.24', 2), ('153.120.10.22', 2), ('80.82.76.121', 1)]",4760
Status Code: 429,19,"[('0.0', 19)]","[('109.206.162.36', 3), ('109.206.167.145', 3), ('109.206.162.52', 2)]",4404
Status Code: 503,18,"[('0.0', 18)]","[('85.184.96.0', 5), ('104.21.48.1', 4), ('104.21.80.1', 4)]",4212
violation of protocol,16,"[('0.0', 16)]","[('35.190.1.20', 7), ('216.239.32.21', 4), ('216.239.34.21', 4)]",1444
Status Code: 526,15,"[('0.0', 15)]","[('188.114.97.0', 5), ('188.114.96.0', 5), ('104.21.32.1', 2)]",157
Exceeded 30 redirects,15,"[('0.0', 15)]","[('104.21.80.1', 5), ('104.21.112.1', 5), ('104.21.32.1', 5)]",748
handshake failure,14,"[('0.0', 14)]","[('45.81.58.38', 2), ('18.239.18.73', 1), ('18.239.18.2', 1)]",580
(Status Code: 405),13,"[('0.0', 13)]","[('18.239.69.77', 2), ('18.239.69.54', 2), ('18.239.69.52', 2)]",388
(Status Code: 521),12,"[('0.0', 12)]","[('188.114.97.0', 3), ('188.114.96.0', 3), ('104.21.48.1', 2)]",174
(Status Code: 436),12,"[('0.0', 12)]","[('91.195.240.12', 7), ('64.190.63.222', 3), ('91.195.240.123', 1)]",4457
(Status Code: 502),11,"[('0.0', 11)]","[('104.21.16.1', 2), ('104.21.96.1', 2), ('104.21.64.1', 2)]",814
(Status Code: 523),11,"[('0.0', 11)]","[('188.114.96.0', 2), ('188.114.97.0', 2), ('188.114.96.3', 1)]",146
(Status Code: 451),8,"[('0.0', 8)]","[('185.197.162.135', 1), ('172.67.155.86', 1), ('104.21.48.179', 1)]",608
internal error (_ssl.c:1129)'))),7,"[('0.0', 7)]","[('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1), ('blogct420x.fc2.me.', 1)]",1057
(Status Code: 530),6,"[('0.0', 6)]","[('104.21.9.155', 1), ('172.67.160.66', 1), ('188.114.96.3', 1)]",450
version number (_ssl.c:1129)'))),5,"[('0.0', 5)]","[('133.18.10.166', 1), ('99.192.136.234', 1), ('77.83.173.245', 1)]",283
