website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 403),0.0,['188.164.158.108'],42.0,3600.0,0.13983416557312012,False,
latinboyz.com,Accessible (Status Code: 200),0.0,['135.148.2.200'],47.0,3597.0,0.39708876609802246,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,8655.0,0.13184785842895508,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.customercare.co', 'customercare.co'"")))",0.0,['184.94.149.216'],48.0,80655.0,0.318742036819458,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Read timed out. (read timeout=15)",0.0,['54.172.159.148'],46.0,3584.0,0.5910069942474365,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['34.149.36.179', '35.190.31.54', '34.160.17.71', '35.244.153.44']",94.0,3583.0,0.3768651485443115,False,
kikoushi.jp,Accessible (Status Code: 200),0.0,['124.35.41.253'],45.0,3584.0,0.20551300048828125,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,3583.0,0.13607192039489746,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,3583.0,0.10167717933654785,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,3584.0,0.08605813980102539,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,3582.0,0.07249808311462402,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['172.67.153.216', '104.21.72.182']",68.0,3581.0,0.12430596351623535,False,
angryorchard.com,Accessible (Status Code: 200),0.0,['13.107.246.40'],50.0,3581.0,0.22838234901428223,False,
goshango.com,Accessible (Status Code: 200),0.0,"['104.26.13.54', '104.26.12.54', '172.67.68.157']",78.0,3581.0,0.14063215255737305,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['172.67.156.185', '104.21.8.29']",61.0,3581.0,0.18453669548034668,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",65.0,3581.0,0.12129497528076172,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['104.21.69.44', '172.67.204.84']",62.0,3580.0,0.08640599250793457,False,
vrcbet.com,"Error: HTTPSConnectionPool(host='vrcbet.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f98cf3ae100>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739287932 1800 900 604800 900'],101.0,3593.0,0.11336088180541992,False,
virtual-horizon.com,"Error: HTTPSConnectionPool(host='virtual-horizon.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f98cedaee50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2364430431 10000 2400 604800 1800'],100.0,3580.0,0.10436129570007324,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,3580.0,0.12076902389526367,False,
passionmanga.online,Accessible (Status Code: 200),0.0,"['104.21.96.1', '104.21.112.1', '104.21.64.1', '104.21.16.1', '104.21.80.1', '104.21.48.1', '104.21.32.1']",149.0,3580.0,0.13171887397766113,False,
craftshack.com,Accessible (Status Code: 200),0.0,['23.227.38.32'],48.0,3580.0,0.1518549919128418,False,
ore-aroma.jp,Accessible (Status Code: 200),0.0,['133.18.78.138'],46.0,3581.0,0.07571196556091309,False,
lottomat.com,Accessible (Status Code: 200),0.0,"['104.21.46.23', '172.67.222.159']",62.0,3580.0,0.08049511909484863,False,
smsm.ph,Accessible (Status Code: 200),0.0,"['99.83.162.94', '13.248.251.78']",57.0,3581.0,0.06281185150146484,False,
read-lookism.com,Accessible (Status Code: 200),0.0,"['172.67.159.190', '104.21.9.105']",66.0,3579.0,0.06719589233398438,False,
bangbrosteenporn.com,Accessible (Status Code: 200),0.0,"['172.67.71.32', '104.26.0.208', '104.26.1.208']",86.0,3579.0,0.08017921447753906,False,
kuro-ai.com,Accessible (Status Code: 200),0.0,"['104.26.6.8', '172.67.70.159', '104.26.7.8']",77.0,3579.0,0.07639217376708984,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['172.67.179.166', '104.21.31.197']",66.0,3579.0,0.0734410285949707,False,
lauxanh.one,Blocked - Client Error (Status Code: 404),0.0,"['104.21.95.38', '172.67.142.195']",61.0,3579.0,0.057994842529296875,False,
zooporn.video,Accessible (Status Code: 200),0.0,"['104.21.80.1', '104.21.48.1', '104.21.32.1', '104.21.64.1', '104.21.112.1', '104.21.16.1', '104.21.96.1']",143.0,3579.0,0.09044408798217773,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,80638.0,0.07016801834106445,False,
casinohex.co.za,Accessible (Status Code: 200),0.0,"['104.26.5.169', '104.26.4.169', '172.67.74.224']",81.0,3580.0,0.06461691856384277,False,
essay-reviews.com,Accessible (Status Code: 200),0.0,"['35.152.117.67', '15.160.106.203', '15.161.34.42']",83.0,3579.0,0.07333922386169434,False,
brombet.com,Accessible (Status Code: 200),0.0,['83.164.147.113'],45.0,3579.0,0.06501603126525879,False,
sssexxx.net,Accessible (Status Code: 200),0.0,['209.126.108.36'],45.0,3580.0,0.05674004554748535,False,
fpack.jp,Accessible (Status Code: 200),0.0,['210.239.38.188'],42.0,3580.0,0.05593705177307129,False,
nashstore.ru,Accessible (Status Code: 200),0.0,['95.181.181.62'],46.0,3581.0,0.05855679512023926,False,
oldiepornos.com,Accessible (Status Code: 200),0.0,"['188.114.96.7', '188.114.97.7']",65.0,3579.0,0.06458616256713867,False,
uzxit.net,Accessible (Status Code: 200),0.0,['195.3.221.161'],43.0,3581.0,0.06562399864196777,False,
1lib.ph,Accessible (Status Code: 200),0.0,['176.123.7.105'],41.0,3580.0,0.07691407203674316,False,
dszbok.com,Accessible (Status Code: 200),0.0,['47.243.172.248'],44.0,3580.0,0.07845592498779297,False,
9nunghd.com,Accessible (Status Code: 200),0.0,"['188.114.96.7', '188.114.97.7']",61.0,3580.0,0.057760000228881836,False,
scaryforkids.com,Accessible (Status Code: 200),0.0,"['104.21.5.251', '172.67.134.22']",66.0,3580.0,0.049424171447753906,False,
meeticaffinity.it,Accessible (Status Code: 200),0.0,['62.23.26.20'],51.0,3580.0,0.0594940185546875,False,
banana.porn,Blocked - Client Error (Status Code: 403),0.0,"['104.21.96.1', '104.21.16.1', '104.21.32.1', '104.21.48.1', '104.21.112.1', '104.21.64.1', '104.21.80.1']",141.0,3580.0,0.07407999038696289,False,
extremereach.com,Blocked - Client Error (Status Code: 403),0.0,"['141.193.213.21', '141.193.213.20']",66.0,3580.0,0.05567288398742676,False,
kungaslottet.se,Blocked - Client Error (Status Code: 403),0.0,"['104.26.5.195', '104.26.4.195', '172.67.68.166']",81.0,3580.0,0.0626521110534668,False,
zaochnik.com,Accessible (Status Code: 200),0.0,"['104.21.16.1', '104.21.80.1', '104.21.112.1', '104.21.32.1', '104.21.64.1', '104.21.48.1', '104.21.96.1']",142.0,3580.0,0.06183815002441406,False,
114bet8.com,Accessible (Status Code: 200),0.0,"['108.157.188.9', '108.157.188.95', '108.157.188.8', '108.157.188.109']",93.0,3580.0,0.0603792667388916,False,
mydesi2.mobi,Accessible (Status Code: 200),0.0,"['104.21.81.242', '172.67.192.31']",62.0,3580.0,0.05634617805480957,False,
beyzam.com,Accessible (Status Code: 200),0.0,"['188.114.96.7', '188.114.97.7']",60.0,3580.0,0.14016270637512207,False,
quinnbet.com,Blocked - Client Error (Status Code: 403),0.0,['104.18.4.148'],46.0,3580.0,0.06883692741394043,False,
cambro.today,Blocked - Client Error (Status Code: 403),0.0,['94.102.51.53'],46.0,3580.0,0.06291818618774414,False,
tanzpartner.de,Accessible (Status Code: 200),0.0,['217.160.0.43'],48.0,3579.0,0.07399129867553711,False,
ibomma.io,Accessible (Status Code: 200),0.0,"['216.239.38.21', '216.239.32.21', '216.239.36.21', '216.239.34.21']",91.0,3579.0,0.058670759201049805,False,
bokep3gp.top,Accessible (Status Code: 200),0.0,['51.91.221.56'],46.0,80636.0,0.05114603042602539,False,
18xxx.su,"Error: HTTPSConnectionPool(host='18xxx.su', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1129)')))",0.0,['213.174.130.131'],42.0,3579.0,0.15037178993225098,False,
zorgfilm.com.co,Blocked - Client Error (Status Code: 403),0.0,"['104.21.77.104', '172.67.206.181']",65.0,3579.0,0.14566898345947266,False,
8xbet06.blog,Blocked - Client Error (Status Code: 403),0.0,"['104.26.2.88', '104.26.3.88', '172.67.72.14']",78.0,3579.0,0.06213808059692383,False,
ashemaletubeporn.com,Accessible (Status Code: 200),0.0,['45.138.128.185'],54.0,3579.0,0.060829877853393555,False,
panas777.info,Accessible (Status Code: 200),0.0,"['104.21.65.148', '172.67.164.28']",63.0,3579.0,0.0522918701171875,False,
