website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 403),0.0,['188.164.158.108'],42.0,3598.0,0.21722078323364258,False,
latinboyz.com,Accessible (Status Code: 200),0.0,['135.148.2.200'],47.0,3597.0,0.19965624809265137,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,14397.0,0.27582406997680664,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.customercare.co', 'customercare.co'"")))",0.0,['184.94.149.216'],48.0,86397.0,0.35924577713012695,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Read timed out. (read timeout=15)",0.0,['54.172.159.148'],46.0,3584.0,0.09338212013244629,False,
vapebazar.de,Accessible (Status Code: 202),0.0,"['34.149.36.179', '34.120.190.48', '35.244.153.44', '35.227.194.51']",94.0,3584.0,0.08507966995239258,False,
kikoushi.jp,Accessible (Status Code: 200),0.0,['124.35.41.253'],45.0,3585.0,0.07931208610534668,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,3584.0,0.08251595497131348,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['172.67.159.231', '104.21.66.123']",59.0,3584.0,0.11281585693359375,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,3584.0,0.08130311965942383,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,3584.0,0.08243727684020996,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['104.21.72.182', '172.67.153.216']",68.0,3584.0,0.0834970474243164,False,
angryorchard.com,Accessible (Status Code: 200),0.0,['13.107.246.40'],50.0,3584.0,0.07317209243774414,False,
goshango.com,Accessible (Status Code: 200),0.0,"['104.26.12.54', '104.26.13.54', '172.67.68.157']",78.0,3583.0,0.08812904357910156,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['188.114.96.7', '188.114.97.7']",61.0,3583.0,0.08998584747314453,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",65.0,3583.0,0.1128079891204834,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['172.67.204.84', '104.21.69.44']",62.0,3583.0,0.09471392631530762,False,
vrcbet.com,"Error: HTTPSConnectionPool(host='vrcbet.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7c41a084c0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739277937 1800 900 604800 900'],101.0,3593.0,0.08677411079406738,False,
virtual-horizon.com,"Error: HTTPSConnectionPool(host='virtual-horizon.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7c419c2130>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2364430431 10000 2400 604800 1800'],100.0,3583.0,0.10291194915771484,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,3583.0,0.08527684211730957,False,
passionmanga.online,Accessible (Status Code: 200),0.0,"['104.21.16.1', '104.21.112.1', '104.21.64.1', '104.21.96.1', '104.21.32.1', '104.21.80.1', '104.21.48.1']",149.0,3583.0,0.0785830020904541,False,
craftshack.com,Accessible (Status Code: 200),0.0,['23.227.38.32'],48.0,3583.0,0.08961892127990723,False,
ore-aroma.jp,Accessible (Status Code: 200),0.0,['133.18.78.138'],46.0,3584.0,0.11231708526611328,False,
lottomat.com,Accessible (Status Code: 200),0.0,"['104.21.46.23', '172.67.222.159']",62.0,3583.0,0.09682893753051758,False,
smsm.ph,Accessible (Status Code: 200),0.0,"['99.83.162.94', '13.248.251.78']",57.0,3582.0,0.08187699317932129,False,
read-lookism.com,Accessible (Status Code: 200),0.0,"['172.67.159.190', '104.21.9.105']",66.0,3582.0,0.07803010940551758,False,
bangbrosteenporn.com,Accessible (Status Code: 200),0.0,"['172.67.71.32', '104.26.0.208', '104.26.1.208']",86.0,3582.0,0.09116911888122559,False,
kuro-ai.com,Accessible (Status Code: 200),0.0,"['104.26.6.8', '104.26.7.8', '172.67.70.159']",77.0,3582.0,0.08607792854309082,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['172.67.179.166', '104.21.31.197']",66.0,3582.0,0.08824014663696289,False,
lauxanh.one,Blocked - Client Error (Status Code: 404),0.0,"['172.67.142.195', '104.21.95.38']",61.0,3582.0,0.09385180473327637,False,
zooporn.video,Accessible (Status Code: 200),0.0,"['104.21.80.1', '104.21.48.1', '104.21.32.1', '104.21.96.1', '104.21.16.1', '104.21.112.1', '104.21.64.1']",143.0,3582.0,0.11289191246032715,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,86382.0,0.08984518051147461,False,
casinohex.co.za,Accessible (Status Code: 200),0.0,"['172.67.74.224', '104.26.5.169', '104.26.4.169']",81.0,3582.0,0.07819008827209473,False,
essay-reviews.com,Accessible (Status Code: 200),0.0,"['35.152.117.67', '15.161.34.42', '15.160.106.203']",83.0,3582.0,0.07954573631286621,False,
brombet.com,Accessible (Status Code: 200),0.0,['83.164.147.113'],45.0,3582.0,0.08639001846313477,False,
sssexxx.net,Accessible (Status Code: 200),0.0,['209.126.108.36'],45.0,3461.0,0.07282519340515137,False,
fpack.jp,Accessible (Status Code: 200),0.0,['210.239.38.188'],42.0,3581.0,0.08790302276611328,False,
nashstore.ru,Accessible (Status Code: 200),0.0,['95.181.181.62'],46.0,3581.0,0.08145689964294434,False,
oldiepornos.com,Accessible (Status Code: 200),0.0,"['188.114.96.7', '188.114.97.7']",65.0,3581.0,0.10869407653808594,False,
uzxit.net,Accessible (Status Code: 200),0.0,['195.3.221.161'],43.0,3581.0,0.09304499626159668,False,
1lib.ph,Accessible (Status Code: 200),0.0,['176.123.7.105'],41.0,3582.0,0.09368205070495605,False,
dszbok.com,Accessible (Status Code: 200),0.0,['47.243.172.248'],44.0,3581.0,0.12235713005065918,False,
9nunghd.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",61.0,3581.0,0.09109926223754883,False,
scaryforkids.com,Accessible (Status Code: 200),0.0,"['104.21.5.251', '172.67.134.22']",66.0,3581.0,0.10150504112243652,False,
meeticaffinity.it,Accessible (Status Code: 200),0.0,['62.23.26.20'],51.0,3581.0,0.18770837783813477,False,
banana.porn,Blocked - Client Error (Status Code: 403),0.0,"['104.21.96.1', '104.21.48.1', '104.21.32.1', '104.21.64.1', '104.21.16.1', '104.21.112.1', '104.21.80.1']",141.0,3580.0,0.0961148738861084,False,
extremereach.com,Blocked - Client Error (Status Code: 403),0.0,"['141.193.213.20', '141.193.213.21']",66.0,3580.0,0.106536865234375,False,
