https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 200,6894,"[('0.0', 6882)]","[('104.21.16.1', 720), ('104.21.112.1', 720), ('104.21.64.1', 720)]",7037
Status Code: 403,1284,"[('0.0', 1283)]","[('104.21.96.1', 136), ('104.21.48.1', 136), ('104.21.32.1', 136)]",4186
Connection Errors,528,"[('0.0', 231), ('3.0', 198), ('2.0', 77)]","[('127.0.0.1', 9), ('a0.nic.bet. hostmaster.donuts.email. 1739278195 7200 900 1209600 3600', 9), ('a0.nic.bet. hostmaster.donuts.email. 1739278828 7200 900 1209600 3600', 8)]",2968
Timeout Errors,236,"[('0.0', 236)]","[('104.21.112.1', 21), ('104.21.32.1', 21), ('104.21.48.1', 21)]",8622
violation of protocol,141,"[('0.0', 141)]","[('195.2.84.111', 16), ('35.190.1.20', 9), ('194.58.112.174', 5)]",11596
Dismatch,139,"[('0.0', 139)]","[('103.224.182.210', 4), ('52.223.39.56', 3), ('152.53.67.90', 3)]",13883
connection without response,118,"[('0.0', 118)]","[('72.52.178.23', 39), ('69.16.230.165', 24), ('72.52.179.174', 4)]",9828
Status Code: 404,102,"[('0.0', 102)]","[('104.21.64.1', 10), ('104.21.96.1', 10), ('104.21.48.1', 10)]",6829
Certificate expired,74,"[('0.0', 74)]","[('35.221.175.82', 6), ('39.110.250.2', 5), ('188.166.241.70', 3)]",10995
self signed certificate,49,"[('0.0', 49)]","[('69.16.230.165', 2), ('5.45.73.205', 2), ('147.92.146.242', 2)]",9888
Status Code: 406,44,"[('0.0', 44)]","[('185.98.55.81', 16), ('88.208.20.10', 16), ('scashwl.com.', 5)]",6978
Status Code: 410,36,"[('0.0', 36)]","[('75.2.37.224', 7), ('15.197.130.221', 3), ('75.2.18.233', 3)]",3522
Status Code: 520,35,"[('0.0', 35)]","[('188.114.96.7', 9), ('188.114.97.7', 9), ('104.21.32.1', 7)]",3430
Status Code: 502,33,"[('0.0', 33)]","[('193.148.245.145', 1), ('193.148.244.177', 1), ('190.115.31.234', 1)]",3516
unable to get local issuer certificate,31,"[('0.0', 31)]","[('153.120.10.22', 2), ('153.120.10.24', 2), ('80.82.76.121', 1)]",9095
Status Code: 500,28,"[('0.0', 28)]","[('104.21.48.1', 5), ('104.21.16.1', 5), ('104.21.64.1', 5)]",3690
Status Code: 203,23,"[('0.0', 23)]","[('212.23.222.98', 2), ('45.155.53.149', 2), ('78.40.116.13', 2)]",25421
Status Code: 429,21,"[('0.0', 21)]","[('109.206.162.36', 3), ('109.206.167.145', 3), ('109.206.162.41', 2)]",9344
Status Code: 503,18,"[('0.0', 18)]","[('85.184.96.0', 5), ('104.21.96.1', 5), ('104.21.48.1', 5)]",6112
Exceeded 30 redirects,18,"[('0.0', 18)]","[('104.21.64.1', 6), ('104.21.32.1', 6), ('104.21.80.1', 6)]",12689
(Status Code: 521),17,"[('0.0', 17)]","[('104.21.112.1', 4), ('104.21.32.1', 4), ('104.21.96.1', 4)]",3508
(Status Code: 436),15,"[('0.0', 15)]","[('91.195.240.12', 8), ('64.190.63.222', 3), ('91.195.240.94', 2)]",5436
handshake failure,15,"[('0.0', 14)]","[('45.81.58.38', 2), ('13.226.175.3', 1), ('13.226.175.128', 1)]",3507
(Status Code: 526),13,"[('0.0', 13)]","[('188.114.97.7', 4), ('188.114.96.7', 4), ('104.21.112.1', 2)]",3504
internal error (_ssl.c:1129)'))),10,"[('0.0', 10)]","[('84.32.84.32', 2), ('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1)]",3496
(Status Code: 523),10,"[('0.0', 10)]","[('188.114.97.7', 2), ('188.114.96.7', 2), ('172.67.74.24', 1)]",3507
(Status Code: 202),9,"[('0.0', 9)]","[('34.149.36.179', 2), ('34.120.190.48', 2), ('35.244.153.44', 2)]",4741
(Status Code: 405),9,"[('0.0', 9)]","[('217.19.237.54', 1), ('108.156.2.11', 1), ('108.156.2.80', 1)]",3532
(Status Code: 530),6,"[('0.0', 6)]","[('172.67.160.66', 1), ('104.21.9.155', 1), ('188.114.96.7', 1)]",3500
(Status Code: 451),5,"[('0.0', 5)]","[('107.154.133.67', 3), ('45.60.111.67', 3), ('185.197.162.135', 1)]",3528
version number (_ssl.c:1129)'))),5,"[('0.0', 5)]","[('133.18.10.166', 1), ('99.192.136.234', 1), ('77.83.173.245', 1)]",3533
(Status Code: 400),4,"[('0.0', 4)]","[('104.21.16.1', 2), ('104.21.112.1', 2), ('104.21.48.1', 2)]",3531
(Status Code: 401),3,"[('0.0', 3)]","[('185.104.211.35', 1), ('104.21.41.157', 1), ('172.67.148.53', 1)]",3485
unrecognized name (_ssl.c:1129)'))),3,"[('0.0', 3)]","[('77980.bodis.com.', 1), ('199.59.243.228', 1), ('89.31.143.90', 1)]",4097
(Status Code: 204),3,"[('0.0', 3)]","[('136.243.42.50', 2), ('23.158.56.201', 2), ('65.109.24.247', 2)]",3520
SSL Errors,3,"[('0.0', 3)]","[('51.81.90.52', 1), ('59.87.155.197', 1), ('209.216.87.66', 1)]",3520
(Status Code: 402),2,"[('0.0', 2)]","[('89.208.113.5', 1), ('78.129.150.19', 1)]",3514
(Status Code: 418),2,"[('0.0', 2)]","[('64.181.171.13', 1), ('78.111.102.100', 1), ('188.114.97.7', 1)]",3520
(Status Code: 522),2,"[('0.0', 2)]","[('104.21.94.76', 1), ('172.67.220.232', 1), ('104.21.5.43', 1)]",3492
(Status Code: 423),2,"[('0.0', 2)]","[('185.235.178.5', 2), ('185.224.82.237', 1)]",3589
(Status Code: 450),1,"[('0.0', 1)]","[('116.203.249.31', 1)]",3539
incorrect header check')),1,"[('0.0', 1)]","[('194.1.147.92', 1), ('194.1.147.90', 1)]",3560
(Status Code: 504),1,"[('0.0', 1)]","[('cbpay888.com.w.cdngslb.com.', 1), ('163.181.50.222', 1), ('163.181.50.223', 1)]",3503
(Status Code: 447),1,"[('0.0', 1)]","[('37.187.135.97', 1)]",3472
(Status Code: 999),1,"[('0.0', 1)]","[('172.67.161.42', 1), ('104.21.90.205', 1)]",3462
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.64.1', 1), ('104.21.112.1', 1), ('104.21.16.1', 1)]",3561
or too long),1,[],[],0
(Status Code: 415),1,"[('0.0', 1)]","[('172.67.184.39', 1), ('104.21.51.190', 1)]",3593
(Status Code: 302),1,"[('0.0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",3546
(Status Code: 468),1,"[('0.0', 1)]","[('netflixgc.com.cdn.fun.', 1), ('15.235.119.2', 1)]",3484
