website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,"Error: HTTPSConnectionPool(host='gg16.bet', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['188.164.158.108'],42.0,64.0,0.20257997512817383,False,
latinboyz.com,"Error: HTTPSConnectionPool(host='latinboyz.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['135.148.2.200'],47.0,64.0,0.04254412651062012,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,4347.0,0.022881031036376953,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['184.94.149.216'],48.0,4347.0,0.03332996368408203,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f9202dedee0>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,4134.0,0.0849149227142334,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['34.160.17.71', '34.149.120.3', '34.149.36.179', '35.227.194.51']",94.0,20.0,0.09195494651794434,False,
kikoushi.jp,"Error: HTTPSConnectionPool(host='kikoushi.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['124.35.41.253'],45.0,1134.0,0.08463096618652344,False,
1x2stats.com,"Error: HTTPSConnectionPool(host='1x2stats.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['34.250.235.194'],46.0,4134.0,0.12280607223510742,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,15.0,0.06883716583251953,False,
indianporn.cam,"Error: HTTPSConnectionPool(host='indianporn.cam', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['62.122.168.59'],48.0,4134.0,0.06906509399414062,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,4134.0,0.0699310302734375,False,
rajacuansuper9.com,"Error: HTTPSConnectionPool(host='rajacuansuper9.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['172.67.153.216', '104.21.72.182']",68.0,15.0,0.08266401290893555,False,
angryorchard.com,"Error: HTTPSConnectionPool(host='angryorchard.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['13.107.246.40'],50.0,1884.0,0.07766509056091309,False,
goshango.com,Accessible (Status Code: 200),0.0,"['104.26.13.54', '172.67.68.157', '104.26.12.54']",78.0,15.0,0.07067704200744629,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['104.21.8.29', '172.67.156.185']",61.0,15.0,0.07471704483032227,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['104.21.14.66', '172.67.158.36']",65.0,15.0,0.07347297668457031,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['104.21.69.44', '172.67.204.84']",62.0,15.0,0.07992291450500488,False,
vrcbet.com,"Error: HTTPSConnectionPool(host='vrcbet.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9202e04e80>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739276337 1800 900 604800 900'],101.0,605.0,0.0833292007446289,False,
virtual-horizon.com,"Error: HTTPSConnectionPool(host='virtual-horizon.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9202ded580>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2364430431 10000 2400 604800 1800'],100.0,1505.0,0.0743870735168457,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,1882.0,0.07885909080505371,False,
passionmanga.online,Accessible (Status Code: 200),0.0,"['104.21.96.1', '104.21.80.1', '104.21.48.1', '104.21.112.1', '104.21.64.1', '104.21.32.1', '104.21.16.1']",149.0,15.0,0.08146381378173828,False,
craftshack.com,"Error: HTTPSConnectionPool(host='craftshack.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['23.227.38.32'],48.0,383.0,0.07468700408935547,False,
ore-aroma.jp,"Error: HTTPSConnectionPool(host='ore-aroma.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['133.18.78.138'],46.0,4133.0,0.05898284912109375,False,
