https_status,Count,DNS Status,Top 3 IPs,Average TTL
SSL Errors,4162,"[('0.0', 3738), ('0', 423)]","[('104.21.80.1', 381), ('104.21.64.1', 381), ('104.21.16.1', 381)]",1261
Status Code: 200,3629,"[('0.0', 3281), ('0', 348)]","[('104.21.96.1', 398), ('104.21.80.1', 398), ('104.21.48.1', 398)]",1137
Status Code: 403,714,"[('0.0', 652), ('0', 62)]","[('104.21.48.1', 90), ('104.21.96.1', 90), ('104.21.80.1', 90)]",608
Connection Errors,650,"[('0.0', 314), ('3.0', 188), ('2.0', 67), ('0', 37), ('3', 16), ('2', 6)]","[('a0.nic.bet. hostmaster.donuts.email. 1739276930 7200 900 1209600 3600', 17), ('195.2.84.111', 16), ('127.0.0.1', 9)]",1666
Timeout Errors,306,"[('0.0', 280), ('0', 26)]","[('217.175.53.72', 54), ('83.224.65.79', 36), ('83.224.65.80', 12)]",2855
Dismatch,82,"[('0.0', 73), ('0', 9)]","[('216.58.205.46', 3), ('103.224.182.210', 3), ('152.53.67.90', 3)]",1900
Status Code: 404,70,"[('0.0', 60), ('0', 10)]","[('104.21.16.1', 9), ('104.21.32.1', 9), ('104.21.80.1', 9)]",918
connection without response,69,"[('0.0', 59), ('0', 10)]","[('72.52.178.23', 33), ('69.16.230.165', 17), ('72.52.179.174', 3)]",3839
Certificate expired,40,"[('0.0', 35), ('0', 5)]","[('188.166.241.70', 3), ('37.1.205.41', 2), ('51.83.37.154', 2)]",2159
Status Code: 502,28,"[('0.0', 26), ('0', 2)]","[('193.148.245.145', 1), ('193.148.244.177', 1), ('190.115.31.234', 1)]",1814
Status Code: 410,24,"[('0.0', 20), ('0', 4)]","[('75.2.37.224', 6), ('185.53.177.51', 2), ('5.61.52.167', 2)]",1267
self signed certificate,23,"[('0.0', 19), ('0', 4)]","[('185.187.159.2', 3), ('69.16.230.165', 2), ('147.92.146.242', 2)]",2530
Status Code: 406,18,"[('0.0', 13), ('0', 5)]","[('151.101.129.91', 2), ('151.101.193.91', 2), ('151.101.65.91', 2)]",2590
Status Code: 500,17,"[('0.0', 17)]","[('104.21.96.1', 4), ('104.21.32.1', 4), ('104.21.80.1', 4)]",1009
Status Code: 520,16,"[('0.0', 12), ('0', 4)]","[('104.21.79.245', 1), ('172.67.150.81', 1), ('172.67.211.66', 1)]",295
(Status Code: 436),13,"[('0.0', 10), ('0', 3)]","[('91.195.240.12', 7), ('64.190.63.222', 2), ('91.195.240.94', 2)]",2832
reset by peer,12,"[('0.0', 9), ('0', 3)]","[('185.73.221.200', 1), ('68.183.84.36', 1), ('52.217.168.85', 1)]",760
handshake failure,12,"[('0.0', 10), ('0', 2)]","[('45.81.58.38', 2), ('13.226.244.8', 1), ('13.226.244.67', 1)]",434
