website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 403),0.0,['188.164.158.108'],42.0,377.0,0.03232264518737793,False,
latinboyz.com,"Error: HTTPSConnectionPool(host='latinboyz.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['135.148.2.200'],47.0,377.0,0.09138178825378418,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,4501.0,0.029851913452148438,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.customercare.co', 'customercare.co'"")))",0.0,['184.94.149.216'],48.0,4501.0,0.014329910278320312,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fa022938dc0>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,4487.0,0.021563053131103516,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['34.149.120.3', '34.120.190.48', '35.227.194.51', '34.160.17.71']",94.0,24.0,0.0068209171295166016,False,
kikoushi.jp,"Error: HTTPSConnectionPool(host='kikoushi.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['124.35.41.253'],45.0,1488.0,0.007489681243896484,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,4487.0,0.006952762603759766,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,363.0,0.0068929195404052734,False,
indianporn.cam,"Error: HTTPSConnectionPool(host='indianporn.cam', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['62.122.168.59'],48.0,4487.0,0.005415916442871094,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,4487.0,0.006760358810424805,False,
rajacuansuper9.com,"Error: HTTPSConnectionPool(host='rajacuansuper9.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.21.72.182', '172.67.153.216']",68.0,363.0,0.009994983673095703,False,
angryorchard.com,"Error: HTTPSConnectionPool(host='angryorchard.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['13.107.246.40'],50.0,2237.0,0.0048029422760009766,False,
