https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 403,4935,"[('0.0', 2975), ('0', 1959)]","[('85.38.29.199', 4098), ('104.21.32.1', 104), ('104.21.48.1', 104)]",69
Status Code: 200,4503,"[('0.0', 2876), ('0', 1623)]","[('104.21.112.1', 463), ('104.21.32.1', 463), ('104.21.16.1', 463)]",348
Connection Errors,475,"[('0.0', 148), ('3.0', 104), ('0', 85), ('2.0', 55), ('3', 51), ('2', 25)]","[('127.0.0.1', 11), ('ns0.centralnic.net. hostmaster.centralnic.net. 395190 900 1800 6048000 3600', 9), ('195.2.84.111', 8)]",342
SSL Errors,438,"[('0.0', 421), ('0', 17)]","[('85.38.29.199', 394), ('104.21.32.1', 5), ('104.21.80.1', 5)]",45
Timeout Errors,186,"[('0.0', 110), ('0', 76)]","[('104.21.80.1', 20), ('104.21.96.1', 20), ('104.21.48.1', 20)]",329
Status Code: 404,90,"[('0.0', 52), ('0', 38)]","[('104.21.32.1', 10), ('104.21.16.1', 10), ('104.21.64.1', 10)]",342
connection without response,81,"[('0.0', 50), ('0', 30)]","[('72.52.178.23', 33), ('69.16.230.165', 27), ('72.52.179.174', 3)]",503
Dismatch,27,"[('0.0', 22), ('0', 5)]","[('142.250.180.174', 2), ('39.110.211.33', 1), ('8.8.8.8', 1)]",365
Status Code: 406,26,"[('0.0', 17), ('0', 9)]","[('185.98.55.81', 8), ('88.208.20.10', 8), ('151.101.129.91', 3)]",343
Status Code: 500,22,"[('0.0', 16), ('0', 6)]","[('104.21.80.1', 4), ('104.21.48.1', 4), ('104.21.64.1', 4)]",298
Certificate expired,21,"[('0.0', 15), ('0', 6)]","[('188.166.241.70', 3), ('37.1.197.107', 2), ('37.1.201.27', 2)]",435
Status Code: 410,20,"[('0.0', 12), ('0', 8)]","[('75.2.37.224', 6), ('15.197.130.221', 4), ('185.53.177.51', 1)]",486
Status Code: 502,19,"[('0.0', 14), ('0', 5)]","[('190.115.31.234', 2), ('185.171.230.9', 2), ('185.171.231.15', 1)]",470
Status Code: 521,15,"[('0.0', 11), ('0', 4)]","[('104.21.96.1', 4), ('104.21.112.1', 4), ('104.21.32.1', 4)]",316
Status Code: 520,15,"[('0', 9), ('0.0', 6)]","[('188.114.97.7', 4), ('188.114.96.7', 4), ('104.21.46.54', 2)]",320
(Status Code: 503),13,"[('0.0', 9), ('0', 4)]","[('104.21.16.1', 3), ('104.21.64.1', 3), ('104.21.112.1', 3)]",354
(Status Code: 203),13,"[('0.0', 9), ('0', 4)]","[('104.21.112.1', 1), ('104.21.16.1', 1), ('104.21.64.1', 1)]",458
issuer certificate (_ssl.c:1129)'))),10,"[('0.0', 9), ('0', 1)]","[('45.79.167.213', 2), ('80.82.76.121', 1), ('185.231.176.135', 1)]",431
Exceeded 30 redirects.,10,"[('0.0', 7), ('0', 3)]","[('188.114.96.7', 3), ('188.114.97.7', 3), ('104.21.64.1', 3)]",365
(Status Code: 429),8,"[('0', 4), ('0.0', 4)]","[('109.206.162.41', 2), ('109.206.176.116', 2), ('172.67.141.151', 1)]",405
reset by peer')),7,"[('0.0', 4), ('0', 3)]","[('58.87.97.186', 1), ('45.84.0.207', 1), ('35.244.213.205', 1)]",471
self signed certificate,7,"[('0.0', 7)]","[('34.110.214.49', 5), ('142.44.138.186', 1), ('142.44.138.91', 1)]",134
(Status Code: 526),6,"[('0', 5), ('0.0', 1)]","[('104.21.48.1', 2), ('104.21.96.1', 2), ('104.21.16.1', 2)]",310
(Status Code: 202),5,"[('0.0', 3), ('0', 2)]","[('3.160.212.16', 3), ('3.160.212.51', 3), ('3.160.212.47', 3)]",92
