website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Accessible (Status Code: 200),0.0,['188.164.158.108'],42.0,376.0,0.011128902435302734,False,
latinboyz.com,Accessible (Status Code: 200),0.0,['135.148.2.200'],47.0,376.0,0.008093833923339844,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,4499.0,0.018635034561157227,False,
cutelatina.com,Accessible (Status Code: 200),0.0,['184.94.149.216'],48.0,4499.0,0.009286165237426758,False,
nyxmalta.com,Accessible (Status Code: 200),0.0,['54.172.159.148'],46.0,545.0,0.010529756546020508,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['34.120.190.48', '35.190.31.54', '34.149.120.3', '34.149.36.179']",94.0,34.0,0.04195094108581543,False,
kikoushi.jp,Accessible (Status Code: 200),0.0,['124.35.41.253'],45.0,1497.0,0.02786731719970703,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,543.0,0.039556026458740234,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,372.0,0.15909123420715332,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,543.0,0.11058211326599121,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,542.0,0.11372494697570801,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['172.67.153.216', '104.21.72.182']",68.0,371.0,0.1722240447998047,False,
angryorchard.com,Accessible (Status Code: 200),0.0,['13.107.246.40'],50.0,2246.0,0.03684186935424805,False,
goshango.com,Accessible (Status Code: 200),0.0,"['172.67.68.157', '104.26.13.54', '104.26.12.54']",78.0,371.0,0.06012296676635742,False,
porno666.la,Accessible (Status Code: 200),0.0,"['104.21.8.29', '172.67.156.185']",61.0,371.0,0.06923913955688477,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['172.67.158.36', '104.21.14.66']",65.0,370.0,0.059033870697021484,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['104.21.69.44', '172.67.204.84']",62.0,370.0,0.07959699630737305,False,
vrcbet.com,"Error: HTTPConnectionPool(host='vrcbet.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc7de1cd60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739279507 1800 900 604800 900'],101.0,900.0,0.07014989852905273,False,
virtual-horizon.com,"Error: HTTPConnectionPool(host='virtual-horizon.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc7ddc6850>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2364430431 10000 2400 604800 1800'],100.0,1800.0,0.06876802444458008,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,2243.0,0.029619932174682617,False,
passionmanga.online,Accessible (Status Code: 200),0.0,"['104.21.16.1', '104.21.48.1', '104.21.64.1', '104.21.112.1', '104.21.32.1', '104.21.80.1', '104.21.96.1']",149.0,370.0,0.03675508499145508,False,
craftshack.com,Accessible (Status Code: 200),0.0,['23.227.38.32'],48.0,745.0,0.0439448356628418,False,
ore-aroma.jp,Accessible (Status Code: 200),0.0,['133.18.78.138'],46.0,541.0,0.23620295524597168,False,
lottomat.com,Accessible (Status Code: 200),0.0,"['172.67.222.159', '104.21.46.23']",62.0,370.0,0.08293390274047852,False,
smsm.ph,"Error: (""Connection broken: ConnectionResetError(54, 'Connection reset by peer')"", ConnectionResetError(54, 'Connection reset by peer'))",0.0,"['13.248.251.78', '99.83.162.94']",57.0,370.0,0.008864164352416992,False,
read-lookism.com,Accessible (Status Code: 200),0.0,"['104.21.9.105', '172.67.159.190']",66.0,370.0,0.005752086639404297,False,
bangbrosteenporn.com,Accessible (Status Code: 200),0.0,"['172.67.71.32', '104.26.0.208', '104.26.1.208']",86.0,370.0,0.012224912643432617,False,
kuro-ai.com,Accessible (Status Code: 200),0.0,"['172.67.70.159', '104.26.7.8', '104.26.6.8']",77.0,369.0,0.006514072418212891,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['104.21.31.197', '172.67.179.166']",66.0,369.0,0.014325618743896484,False,
lauxanh.one,Blocked - Client Error (Status Code: 404),0.0,"['172.67.142.195', '104.21.95.38']",61.0,369.0,0.0335390567779541,False,
zooporn.video,Accessible (Status Code: 200),0.0,"['104.21.32.1', '104.21.64.1', '104.21.80.1', '104.21.48.1', '104.21.16.1', '104.21.96.1', '104.21.112.1']",143.0,369.0,0.026852846145629883,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,4494.0,0.03217911720275879,False,
casinohex.co.za,Accessible (Status Code: 200),0.0,['217.175.53.72'],49.0,4494.0,0.01048898696899414,False,
essay-reviews.com,Accessible (Status Code: 200),0.0,"['15.161.34.42', '35.152.117.67', '15.160.106.203']",83.0,7.0,0.008881092071533203,False,
brombet.com,Accessible (Status Code: 200),0.0,['83.164.147.113'],45.0,745.0,0.01860499382019043,False,
sssexxx.net,Accessible (Status Code: 200),0.0,['209.126.108.36'],45.0,4494.0,0.012209892272949219,False,
fpack.jp,Accessible (Status Code: 200),0.0,['210.239.38.188'],42.0,744.0,0.008668899536132812,False,
nashstore.ru,Accessible (Status Code: 200),0.0,['95.181.181.62'],46.0,144.0,0.004974842071533203,False,
oldiepornos.com,Accessible (Status Code: 200),0.0,"['104.21.92.229', '172.67.199.99']",65.0,369.0,0.0062160491943359375,False,
uzxit.net,Accessible (Status Code: 200),0.0,['195.3.221.161'],43.0,369.0,0.004156351089477539,False,
1lib.ph,Accessible (Status Code: 200),0.0,['176.123.7.105'],41.0,7.0,0.015564203262329102,False,
dszbok.com,Accessible (Status Code: 200),0.0,['47.243.172.248'],44.0,31.0,0.04935812950134277,False,
9nunghd.com,Accessible (Status Code: 200),0.0,"['104.26.12.50', '104.26.13.50', '172.67.73.8']",77.0,369.0,0.012350797653198242,False,
scaryforkids.com,Accessible (Status Code: 200),0.0,"['172.67.134.22', '104.21.5.251']",66.0,369.0,0.007825851440429688,False,
meeticaffinity.it,Accessible (Status Code: 200),0.0,['62.23.26.20'],51.0,19.0,0.01098179817199707,False,
banana.porn,Blocked - Client Error (Status Code: 403),0.0,"['104.21.32.1', '104.21.80.1', '104.21.48.1', '104.21.112.1', '104.21.16.1', '104.21.96.1', '104.21.64.1']",141.0,369.0,0.011209964752197266,False,
extremereach.com,Blocked - Client Error (Status Code: 403),0.0,"['141.193.213.20', '141.193.213.21']",66.0,31.0,0.009390115737915039,False,
kungaslottet.se,Blocked - Client Error (Status Code: 403),0.0,"['104.26.5.195', '104.26.4.195', '172.67.68.166']",81.0,369.0,0.07890987396240234,False,
zaochnik.com,Accessible (Status Code: 200),0.0,"['104.21.32.1', '104.21.80.1', '104.21.112.1', '104.21.48.1', '104.21.96.1', '104.21.16.1', '104.21.64.1']",142.0,369.0,0.19350504875183105,False,
114bet8.com,Accessible (Status Code: 200),0.0,"['18.65.64.25', '18.65.64.129', '18.65.64.22', '18.65.64.33']",93.0,69.0,0.02987384796142578,False,
mydesi2.mobi,Accessible (Status Code: 200),0.0,"['104.21.81.242', '172.67.192.31']",62.0,369.0,0.006019115447998047,False,
beyzam.com,Accessible (Status Code: 200),0.0,"['104.21.16.21', '172.67.165.247']",60.0,369.0,0.0053179264068603516,False,
quinnbet.com,Accessible (Status Code: 200),0.0,['104.18.4.148'],46.0,744.0,0.006567239761352539,False,
cambro.today,Accessible (Status Code: 200),0.0,['94.102.51.53'],46.0,1119.0,0.008831024169921875,False,
tanzpartner.de,Accessible (Status Code: 200),0.0,['217.160.0.43'],48.0,540.0,0.008813142776489258,False,
ibomma.io,Accessible (Status Code: 200),0.0,"['216.239.34.21', '216.239.36.21', '216.239.38.21', '216.239.32.21']",91.0,369.0,0.07301592826843262,False,
bokep3gp.top,Accessible (Status Code: 200),0.0,['51.91.221.56'],46.0,4494.0,0.013458967208862305,False,
18xxx.su,Accessible (Status Code: 200),0.0,['213.174.130.131'],42.0,1494.0,0.01312398910522461,False,
zorgfilm.com.co,Blocked - Client Error (Status Code: 403),0.0,"['104.21.77.104', '172.67.206.181']",65.0,369.0,0.008890867233276367,False,
8xbet06.blog,Blocked - Client Error (Status Code: 403),0.0,"['172.67.72.14', '104.26.2.88', '104.26.3.88']",78.0,369.0,0.01711273193359375,False,
ashemaletubeporn.com,Accessible (Status Code: 200),0.0,['45.138.128.185'],54.0,69.0,0.006726741790771484,False,
panas777.info,Accessible (Status Code: 200),0.0,"['104.21.65.148', '172.67.164.28']",63.0,369.0,0.008289098739624023,False,
hentaizap.com,Accessible (Status Code: 200),0.0,"['104.21.6.185', '172.67.187.125']",63.0,369.0,0.012286901473999023,False,
isproxyip.com,Accessible (Status Code: 200),0.0,"['104.21.16.1', '104.21.48.1', '104.21.32.1', '104.21.80.1', '104.21.64.1', '104.21.96.1', '104.21.112.1']",143.0,369.0,0.01907801628112793,False,
flashdown365.com,"Error: HTTPConnectionPool(host='flashdown365.com', port=80): Read timed out. (read timeout=15)",0.0,"['104.21.48.1', '104.21.16.1', '104.21.112.1', '104.21.32.1', '104.21.96.1', '104.21.80.1', '104.21.64.1']",146.0,362.0,0.012185811996459961,False,
sexsaoy.com,Accessible (Status Code: 200),0.0,['217.12.200.79'],45.0,533.0,0.013113975524902344,False,
salasdechatgratis.org,Accessible (Status Code: 200),0.0,['37.252.97.191'],55.0,4488.0,0.009284019470214844,False,
sattakingexpert.in,Accessible (Status Code: 200),0.0,['92.113.23.94'],52.0,62.0,0.007445096969604492,False,
holyodds.com,Accessible (Status Code: 200),0.0,"['104.21.92.64', '172.67.187.158']",62.0,362.0,0.008528709411621094,False,
turismodevino.com,Accessible (Status Code: 200),0.0,['82.98.178.185'],51.0,362.0,0.00514984130859375,False,
nyafilmer.gg,Accessible (Status Code: 200),0.0,"['172.67.217.99', '104.21.93.254']",62.0,362.0,0.007941961288452148,False,
feniksscasino.lv,Accessible (Status Code: 200),0.0,['94.136.112.167'],50.0,62.0,0.008391141891479492,False,
anifound.com,Accessible (Status Code: 200),0.0,"['104.21.80.1', '104.21.32.1', '104.21.48.1', '104.21.16.1', '104.21.112.1', '104.21.96.1', '104.21.64.1']",142.0,362.0,0.00690007209777832,False,
cvo1.rocks,"Error: HTTPConnectionPool(host='cvo1.rocks', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc7dee6850>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['v0n0.nic.rocks. hostmaster.donuts.email. 1739275590 7200 900 1209600 3600'],96.0,437.0,0.008868932723999023,False,
frydbarscarts.com,Accessible (Status Code: 200),0.0,['145.223.105.215'],51.0,2237.0,0.0068738460540771484,False,
clubewin.com,Accessible (Status Code: 200),0.0,"['clubewin.com.w.cdngslb.com.', '47.246.46.148']",83.0,63.0,0.009043216705322266,False,
sokabet.co.tz,Accessible (Status Code: 200),0.0,"['18.168.65.57', '3.127.109.30', '54.220.171.14']",79.0,1112.0,0.005187273025512695,False,
1xlite-659540.top,"Error: HTTPConnectionPool(host='1xlite-659540.top', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc7df257f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.zdnscloud.com. td_dns_gtld.knet.cn. 1391858496 600 200 2491200 3600'],105.0,437.0,0.005399942398071289,False,
secretlink.xyz,Blocked - Client Error (Status Code: 403),0.0,['185.53.177.51'],48.0,737.0,0.005732059478759766,False,
celebrityfakes4u.com,Accessible (Status Code: 200),0.0,"['172.67.195.117', '104.21.84.179']",70.0,362.0,0.0074999332427978516,False,
gunnewsdaily.com,Blocked - Client Error (Status Code: 403),0.0,['184.154.14.132'],50.0,533.0,0.007979869842529297,False,
kinoxa.biz,Blocked (Status Code: 502),0.0,['69.16.230.165'],44.0,4487.0,0.007492780685424805,False,
asianflix.one,Accessible (Status Code: 200),0.0,"['216.239.32.21', '216.239.34.21', '192.64.119.37', '216.239.36.21', '216.239.38.21']",111.0,62.0,0.005394935607910156,False,
primaryarms.com,Accessible (Status Code: 200),0.0,"['3.33.251.168', '15.197.225.128']",65.0,533.0,0.005169868469238281,False,
geo-gdz.ru,Accessible (Status Code: 200),0.0,['195.161.62.132'],44.0,4487.0,0.008014917373657227,False,
flirtic.ee,Accessible (Status Code: 200),0.0,['212.7.8.176'],44.0,533.0,0.007310152053833008,False,
newmp3.kz,Accessible (Status Code: 200),0.0,['92.118.115.8'],43.0,533.0,0.008530139923095703,False,
cacoslots3.com,Accessible (Status Code: 200),0.0,"['108.139.210.118', '108.139.210.42', '108.139.210.78', '108.139.210.56']",96.0,62.0,0.00767207145690918,False,
imaple.me,Blocked - Client Error (Status Code: 403),0.0,"['172.67.163.25', '104.21.15.157']",59.0,362.0,0.008888006210327148,False,
winespectator.com,Accessible (Status Code: 200),0.0,['44.196.199.11'],51.0,2237.0,0.08260321617126465,False,
libimseti.cz,Accessible (Status Code: 200),0.0,['109.123.202.46'],46.0,1112.0,0.008016824722290039,False,
forced-sex.net,Accessible (Status Code: 200),0.0,"['104.21.25.73', '172.67.223.244']",64.0,362.0,0.012396097183227539,False,
gaycommunity.com,Accessible (Status Code: 200),0.0,['66.63.171.134'],50.0,4487.0,0.005468845367431641,False,
x-minus.pro,Blocked - Client Error (Status Code: 403),0.0,"['172.67.151.227', '104.21.1.27']",61.0,362.0,0.005094051361083984,False,
monstercockland.com,Accessible (Status Code: 200),0.0,['66.70.187.251'],53.0,4487.0,0.0075588226318359375,False,
filmyzilla.com.tj,Accessible (Status Code: 200),0.0,"['172.67.176.121', '104.21.40.56']",67.0,362.0,0.005316019058227539,False,
muzma.net,Accessible (Status Code: 200),0.0,"['104.21.37.72', '172.67.205.75']",59.0,362.0,0.006780862808227539,False,
vilaviniteca.es,Accessible (Status Code: 200),0.0,"['172.67.72.131', '104.26.13.191', '104.26.12.191']",81.0,362.0,0.010477066040039062,False,
freshcasino-sport1.top,Blocked - Client Error (Status Code: 403),0.0,"['172.67.214.33', '104.21.23.231']",72.0,362.0,0.014863729476928711,False,
tuckermax.com,Accessible (Status Code: 200),0.0,['34.174.209.41'],47.0,362.0,0.00904989242553711,False,
kinokong.ws,Accessible (Status Code: 200),0.0,['64.70.19.203'],45.0,362.0,0.009639978408813477,False,
ssvip.world,Accessible (Status Code: 200),0.0,"['ssvip.world.w.cdngslb.com.', '47.246.46.148']",84.0,62.0,0.011287212371826172,False,
pornking.fun,"Error: HTTPConnectionPool(host='pornking.fun', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc7e239c40>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,,,,,True,DNS_HTTPS.py: No response from server
mobileslotsite.co.uk,Accessible (Status Code: 200),0.0,"['104.21.96.1', '104.21.112.1', '104.21.16.1', '104.21.64.1', '104.21.48.1', '104.21.80.1', '104.21.32.1']",150.0,344.0,0.013148069381713867,False,
g-spotvibrators.com,Accessible (Status Code: 200),0.0,"['104.21.32.30', '172.67.182.92']",69.0,344.0,0.009331941604614258,False,
nonuderama.net,Accessible (Status Code: 200),0.0,"['172.67.202.136', '104.21.58.91']",64.0,344.0,0.005294084548950195,False,
spin101agent.com,Accessible (Status Code: 200),0.0,"['13.35.198.46', '13.35.198.93', '13.35.198.84', '13.35.198.65']",98.0,44.0,0.00845026969909668,False,
it.cx,"Error: HTTPConnectionPool(host='it.cx', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc7df88ac0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['ns1.afraid.org. dnsadmin.afraid.org. 2502110001 86400 7200 2419200 3600'],82.0,438.0,0.0073070526123046875,False,
p-a.jp,Accessible (Status Code: 200),0.0,['115.30.0.197'],40.0,344.0,0.00817418098449707,False,
japanbeast.com,Accessible (Status Code: 200),0.0,"['104.21.54.188', '172.67.141.28']",64.0,344.0,0.007134199142456055,False,
phimsexnunglon.com,"Error: HTTPConnectionPool(host='phimsexnunglon.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc7e22d0d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['ace.ns.cloudflare.com. dns.cloudflare.com. 2364642573 10000 2400 604800 1800'],94.0,1800.0,0.0065920352935791016,False,
porngrey.net,Accessible (Status Code: 200),0.0,"['104.21.47.39', '172.67.170.93']",62.0,344.0,0.008807897567749023,False,
kinoxa.cc,"Error: HTTPConnectionPool(host='kinoxa.cc', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc7e07d580>: Failed to establish a new connection: [Errno 61] Connection refused'))",0.0,['127.0.0.1'],43.0,344.0,0.00898885726928711,False,
xnx.rest,Accessible (Status Code: 200),0.0,['31.133.208.7'],42.0,515.0,0.007445096969604492,False,
blumpkintube.com,Accessible (Status Code: 200),0.0,"['172.67.148.206', '104.21.79.212']",66.0,344.0,0.008806943893432617,False,
clubedomalte.com.br,Accessible (Status Code: 200),0.0,['54.232.229.211'],53.0,515.0,0.008739948272705078,False,
yourghoststories.com,Accessible (Status Code: 200),0.0,['138.197.72.164'],54.0,42.0,0.008270263671875,False,
downloadwella.com,Accessible (Status Code: 200),0.0,['80.82.76.121'],51.0,344.0,0.005457162857055664,False,
sweetteentube.net,Accessible (Status Code: 200),0.0,"['104.21.20.56', '172.67.191.205']",67.0,344.0,0.007424116134643555,False,
hkparts.net,Accessible (Status Code: 200),0.0,['63.141.128.22'],45.0,719.0,0.0071811676025390625,False,
sipsap.com,Accessible (Status Code: 200),0.0,['142.171.28.202'],44.0,515.0,0.009499073028564453,False,
entrevue.fr,Accessible (Status Code: 200),0.0,"['104.21.96.1', '104.21.64.1', '104.21.48.1', '104.21.32.1', '104.21.16.1', '104.21.80.1', '104.21.112.1']",141.0,344.0,0.006531238555908203,False,
reifetube.com,Accessible (Status Code: 200),0.0,"['172.67.129.6', '104.21.1.102']",63.0,344.0,0.00807499885559082,False,
fagalicious.com,Accessible (Status Code: 200),0.0,"['104.26.11.6', '172.67.70.194', '104.26.10.6']",81.0,344.0,0.008341073989868164,False,
me-tube.com,"Error: HTTPSConnectionPool(host='sexvideos.host', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.21.64.1', '104.21.96.1', '104.21.80.1', '104.21.48.1', '104.21.112.1', '104.21.16.1', '104.21.32.1']",141.0,344.0,0.011047124862670898,False,
kinolights.com,Blocked - Client Error (Status Code: 403),0.0,"['3.34.211.213', '43.200.154.43']",64.0,44.0,0.006197929382324219,False,
incestflix.trade,Accessible (Status Code: 200),0.0,"['172.67.136.139', '104.21.94.139']",66.0,344.0,0.008308887481689453,False,
hyderabaddutyfree.com,Accessible (Status Code: 200),0.0,['162.215.226.7'],55.0,4469.0,0.021434783935546875,False,
bwin.be,Accessible (Status Code: 200),0.0,"['104.17.185.1', '104.17.186.1']",57.0,270.0,0.0068547725677490234,False,
goldtits.com,Accessible (Status Code: 200),0.0,['78.140.176.68'],46.0,344.0,0.0076007843017578125,False,
svyaznoy.travel,Accessible (Status Code: 200),0.0,['195.161.69.18'],49.0,4469.0,0.00619816780090332,False,
superbrawl.com,Accessible (Status Code: 200),0.0,['207.58.164.200'],48.0,4471.0,0.0073451995849609375,False,
sportsmanguncentre.co.uk,Accessible (Status Code: 200),0.0,"['172.67.207.153', '104.21.93.80']",74.0,344.0,0.011815786361694336,False,
depic.me,Accessible (Status Code: 200),0.0,"['104.21.80.1', '104.21.96.1', '104.21.16.1', '104.21.112.1', '104.21.32.1', '104.21.64.1', '104.21.48.1']",138.0,344.0,0.00860905647277832,False,
