https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 200,8086,"[('0.0', 8084)]","[('104.21.16.1', 776), ('104.21.48.1', 776), ('104.21.64.1', 776)]",959
Status Code: 403,730,"[('0.0', 729)]","[('104.21.32.1', 83), ('104.21.80.1', 83), ('104.21.48.1', 83)]",572
Connection Errors,530,"[('0.0', 231), ('3.0', 204), ('2.0', 73)]","[('a0.nic.bet. hostmaster.donuts.email. 1739276930 7200 900 1209600 3600', 17), ('127.0.0.1', 9), ('ns0.centralnic.net. hostmaster.centralnic.net. 395181 900 1800 6048000 3600', 9)]",1042
Status Code: 502,164,"[('0.0', 163)]","[('72.52.178.23', 28), ('69.16.230.165', 19), ('195.2.84.111', 9)]",2311
SSL Errors,82,"[('0.0', 82)]","[('104.21.64.1', 9), ('104.21.96.1', 9), ('104.21.80.1', 9)]",829
Status Code: 404,71,"[('0.0', 71)]","[('104.21.48.1', 8), ('104.21.64.1', 8), ('104.21.16.1', 8)]",754
Timeout Errors,103,"[('0.0', 103)]","[('23.227.38.32', 2), ('217.175.53.72', 2), ('63.35.117.113', 1)]",1632
reset by peer,29,"[('0.0', 29)]","[('104.21.112.1', 4), ('104.21.96.1', 4), ('104.21.80.1', 4)]",663
Status Code: 500,21,"[('0.0', 21)]","[('104.21.64.1', 4), ('104.21.16.1', 4), ('104.21.80.1', 4)]",852
Status Code: 406,18,"[('0.0', 18)]","[('151.101.65.91', 2), ('151.101.1.91', 2), ('151.101.129.91', 2)]",2614
Status Code: 410,17,"[('0.0', 17)]","[('75.2.37.224', 6), ('5.61.52.167', 2), ('15.197.130.221', 2)]",815
Certificate expired,16,"[('0.0', 16)]","[('188.166.241.70', 3), ('37.1.205.41', 1), ('104.21.80.1', 1)]",1653
Status Code: 520,13,"[('0.0', 13)]","[('172.67.150.81', 1), ('104.21.79.245', 1), ('172.66.42.232', 1)]",341
Dismatch,12,"[('0.0', 12)]","[('162.211.83.127', 1), ('37.19.203.107', 1), ('185.156.44.117', 1)]",794
Status Code: 521,11,"[('0.0', 11)]","[('104.21.64.1', 4), ('104.21.80.1', 4), ('104.21.48.1', 4)]",329
Status Code: 203,9,"[('0.0', 9)]","[('207.5.194.234', 2), ('212.23.222.98', 2), ('45.155.53.149', 2)]",2639
Status Code: 503,8,"[('0.0', 8)]","[('104.21.32.1', 2), ('104.21.64.1', 2), ('104.21.80.1', 2)]",825
Status Code: 523,8,"[('0.0', 8)]","[('104.21.50.23', 1), ('172.67.199.182', 1), ('172.67.144.166', 1)]",338
Status Code: 526,7,"[('0.0', 7)]","[('104.21.96.1', 2), ('104.21.112.1', 2), ('104.21.16.1', 2)]",317
unable to get local issuer certificate,7,"[('0.0', 7)]","[('35.190.85.91', 1), ('54.231.172.197', 1), ('3.5.9.77', 1)]",627
Exceeded 30 redirects.,6,"[('0.0', 6)]","[('104.21.96.1', 3), ('104.21.112.1', 3), ('104.21.16.1', 3)]",655
(Status Code: 405),6,"[('0.0', 6)]","[('203.107.44.133', 1), ('54.186.124.102', 1), ('54.188.43.207', 1)]",203
(Status Code: 409),6,"[('0.0', 6)]","[('45.81.58.23', 1), ('172.67.139.88', 1), ('104.21.233.134', 1)]",593
connection without response,5,"[('0.0', 5)]","[('23.224.176.104', 1), ('172.67.135.128', 1), ('104.21.6.245', 1)]",708
(Status Code: 530),4,"[('0.0', 4)]","[('104.21.9.155', 1), ('172.67.160.66', 1), ('172.67.209.20', 1)]",782
(Status Code: 400),3,"[('0.0', 3)]","[('104.21.16.1', 2), ('104.21.80.1', 2), ('104.21.32.1', 2)]",331
(Status Code: 451),3,"[('0.0', 3)]","[('185.197.162.135', 1), ('107.154.133.67', 1), ('45.60.111.67', 1)]",453
(Status Code: 202),3,"[('0.0', 3)]","[('104.21.32.1', 1), ('104.21.96.1', 1), ('104.21.112.1', 1)]",143
(Status Code: 204),3,"[('0.0', 3)]","[('23.158.56.123', 2), ('23.158.56.201', 2), ('144.76.106.61', 2)]",590
Read timed out.,3,"[('0.0', 3)]","[('39.97.7.247', 1), ('122.224.107.239', 1), ('104.26.4.147', 1)]",361
handshake failure,3,"[('0.0', 3)]","[('45.81.58.38', 2), ('wikicn.top.cdn.cloudflare.net.', 1), ('172.67.152.105', 1)]",347
