Number,Category_name
0,Adware
1,Alcohol
2,Auctions
3,Blogs
4,Chat
5,Classifieds
6,Dating
7,Drugs
8,Ecommerce/Shopping
9,File Storage
10,Gambling
11,Games
12,Hate/Discrimination
13,Health and Fitness
14,Humor
15,Instant Messaging
16,Jobs/Employment
17,Movies
18,News/Media
19,P2P/File sharing
20,Photo Sharing
21,Portals
22,Radio
23,Search Engines
24,Social Networking
25,Software/Technology
26,Television
27,Advertisements
28,Video Sharing
29,Visual Search Engines
30,Weapons
31,Webmail
32,Business Services
33,Educational Institutions
34,Financial Institutions
35,Government
36,Music
37,Parked Domains
38,Tobacco
39,Sports
40,Adult Themes
41,Lingerie/Bikini
42,Nudity
43,Proxy/Anonymizer
44,Pornography
45,Sexuality
46,Tasteless
47,Academic Fraud
48,Automotive
49,Forums/Message boards
50,Non-Profits
51,Podcasts
52,Politics
53,Religious
54,Research/Reference
55,Travel
57,Anime/Manga/Webcomic
58,Web Spam
59,Typo Squatting
60,Drive-by Downloads/Exploits
61,Dynamic DNS
62,Mobile Threats
63,High Risk Sites and Locations
64,Command and Control
65,Command and Control
66,Malware
67,Malware
68,Phishing
106,Unauthorized IP Tunnel Access
107,URL Shortener
108,Newly Seen Domains
109,Potentially Harmful
110,DNS Tunneling VPN
111,Arts
112,Astrology
113,Computer Security
114,Digital Postcards
115,Dining and Drinking
116,Dynamic and Residential
117,Fashion
118,File Transfer Services
119,Freeware and Shareware
120,Hacking
121,Illegal Activities
122,Illegal Downloads
123,Infrastructure
124,Internet Telephony
125,Lotteries
126,Mobile Phones
127,Nature
128,Online Trading
129,Personal Sites
130,Professional Networking
131,Real Estate
132,SaaS and B2B
133,Safe for Kids
134,Science and Technology
135,Sex Education
136,Social Science
137,Society and Culture
138,Software Updates
139,Web Hosting
140,Web Page Translation
141,Organization Email
142,Online Meetings
143,Paranormal
144,Personal VPN
145,DIY Projects
146,Hunting
147,Military
148,Application
149,Terrorism
150,Cryptomining
161,Adult
162,Web-based Email
163,Business and Industry
164,Chat and Instant Messaging
165,Cheating and Plagiarism
166,Child Abuse Content
167,Computers and Internet
168,Education
169,Entertainment
170,Extreme
171,Filter Avoidance
172,Finance
173,Government and Law
174,Hate Speech
175,Health and Medicine
176,Illegal Drugs
177,Job Search
178,Lingerie and Swimsuits
179,News
180,Non-governmental Organizations
181,Non-sexual Nudity
182,Not Actionable
183,Online Communities
184,Online Storage and Backup
185,Web Cache and Archives
186,Peer File Transfer
187,Photo Search and Images
188,Reference
189,Religion
190,Search Engines and Portals
191,Shopping
192,Sports and Recreation
193,Streaming Audio
194,Streaming Video
195,Transportation
196,Animals and Pets
197,Cannabis
198,Cloud and Data Centers
199,Conventions/Conferences and Trade Shows
200,Cryptocurrency
201,DoH and DoT
202,Internet of Things
203,Museums
204,Terrorism and Violent Extremism
205,Online Document Sharing and Collaboration
206,Private IP Addresses as Host
207,Recipes and Food
208,Regional Restricted Sites (Germany)
209,Regional Restricted Sites (Great Britain)
210,Regional Restricted Sites (Italy)
211,Regional Restricted Sites (Poland)
