Category,Domain Count
Illegal Downloads,5220
Gambling,5028
Pornography,2905
Adult Themes,1393
Adult,1212
Dating,413
Nudity,296
Alcohol,280
Proxy/Anonymizer,254
Regional Restricted Sites (Poland),244
Weapons,232
Entertainment,218
Filter Avoidance,181
Games,177
Cannabis,160
Tobacco,160
Academic Fraud,103
Cheating and Plagiarism,102
Forums/Message boards,95
Ecommerce/Shopping,87
Sports,80
Business Services,74
Online Communities,71
Shopping,70
Sports and Recreation,70
Business and Industry,66
News/Media,61
P2P/File sharing,57
Anime/Manga/Webcomic,56
Software/Technology,54
Lingerie/Bikini,52
Hate/Discrimination,50
Paranormal,50
Movies,46
Video Sharing,45
Chat,44
Hate Speech,44
Drugs,43
Tasteless,41
Blogs,40
Computers and Internet,38
Regional Restricted Sites (Italy),37
Advertisements,37
Humor,37
Streaming Video,36
Extreme,34
Unknown(),32
Personal VPN,32
Illegal Drugs,31
Hacking,31
Chat and Instant Messaging,28
News,27
Sexuality,27
Travel,24
Social Networking,23
Illegal Activities,23
Photo Sharing,21
Health and Medicine,20
Research/Reference,19
Regional Restricted Sites (Germany),17
Visual Search Engines,16
Music,16
Dining and Drinking,15
Photo Search and Images,14
Parked Domains,14
Television,13
DoH and DoT,13
Religious,12
Fashion,11
File Storage,11
Search Engines,11
Society and Culture,10
Personal Sites,10
Non-Profits,10
SaaS and B2B,10
Peer File Transfer,10
Education,9
Educational Institutions,9
Reference,9
Arts,9
Infrastructure,9
Lingerie and Swimsuits,8
Search Engines and Portals,8
Health and Fitness,7
Non-governmental Organizations,7
Web Hosting,7
File Transfer Services,7
Religion,6
Auctions,5
Adware,5
Politics,5
Lotteries,5
Child Abuse Content,5
Podcasts,4
Hunting,4
Streaming Audio,4
Non-sexual Nudity,4
Freeware and Shareware,4
Instant Messaging,3
Military,3
Online Trading,3
Regional Restricted Sites (Great Britain),3
Science and Technology,3
Sex Education,3
Transportation,3
Automotive,3
Astrology,3
Mobile Phones,3
Online Storage and Backup,3
Professional Networking,2
Portals,2
Government,2
Government and Law,2
Real Estate,2
Classifieds,2
Internet of Things,2
Radio,2
Web-based Email,2
Webmail,2
Not Actionable,2
Financial Institutions,2
Finance,2
Computer Security,2
Terrorism,2
Terrorism and Violent Extremism,2
Cryptocurrency,1
Nature,1
Job Search,1
Jobs/Employment,1
URL Shortener,1
Online Document Sharing and Collaboration,1
Web Spam,1
DIY Projects,1
