https_status,Count,DNS Status,Top 3 IPs,Average TTL
SSL Errors,4314,"[('0.0', 4314)]","[('blogspot.l.googleusercontent.com.', 1784), ('216.58.205.33', 1784), ('74.114.154.18', 738)]",1154
Connection Errors,2476,"[('3.0', 2112), ('0.0', 259), ('2.0', 68)]","[('a.ns.tk. joost\\.zuurbier.dot.tk. 1738402442 10800 3600 604800 5', 247), ('a0.info.afilias-nst.info. hostmaster.donuts.email. 1738706083 7200 900 1209600 3600', 40), ('a.gtld-servers.net. nstld.verisign-grs.com. 1738709698 1800 900 604800 900', 34)]",1479
(Status Code: 200),1944,"[('0.0', 1943)]","[('blogspot.l.googleusercontent.com.', 1064), ('216.58.205.33', 1064), ('74.114.154.22', 143)]",843
(Status Code: 404),830,"[('0.0', 830)]","[('blogspot.l.googleusercontent.com.', 476), ('216.58.205.33', 476), ('74.114.154.18', 339)]",271
Timeout Errors,281,"[('0.0', 281)]","[('traff-1.hugedomains.com.', 13), ('hdr-nlb9-41371129e8304c29.elb.us-east-1.amazonaws.com.', 13), ('54.209.32.212', 13)]",2294
(Status Code: 403),103,"[('0.0', 103)]","[('104.21.32.1', 18), ('104.21.64.1', 18), ('104.21.80.1', 18)]",838
Dismatch,37,"[('0.0', 37)]","[('91.208.175.120', 3), ('103.224.182.210', 3), ('54.164.83.247', 2)]",2608
(Status Code: 410),24,"[('0.0', 24)]","[('185.53.177.54', 3), ('185.53.177.51', 3), ('185.53.177.31', 2)]",1887
signed certificate (_ssl.c:1129)'))),21,"[('0.0', 21)]","[('35.221.175.82', 4), ('sms13.de.', 2), ('209.250.239.254', 2)]",1597
Certificate expired,15,"[('0.0', 15)]","[('84.247.2.120', 1), ('142.11.222.108', 1), ('5.45.93.72', 1)]",3159
out. (read timeout=15),14,"[('0.0', 14)]","[('104.21.64.1', 3), ('104.21.96.1', 3), ('104.21.48.1', 3)]",309
connection without response')),12,"[('0.0', 12)]","[('69.16.230.165', 5), ('72.52.178.23', 2), ('52.20.84.62', 2)]",3748
of protocol (_ssl.c:1129)'))),9,"[('0.0', 9)]","[('35.190.1.20', 3), ('34.107.184.1', 1), ('138.68.66.48', 1)]",2344
(Status Code: 406),9,"[('0.0', 9)]","[('192.254.185.185', 2), ('162.241.253.51', 1), ('192.254.190.126', 1)]",3964
(Status Code: 520),9,"[('0.0', 9)]","[('104.21.64.1', 4), ('104.21.96.1', 4), ('104.21.16.1', 4)]",314
version number (_ssl.c:1129)'))),9,"[('0.0', 9)]","[('64.59.108.73', 1), ('99.192.132.167', 1), ('216.127.60.16', 1)]",3513
unrecognized name (_ssl.c:1129)'))),8,"[('0.0', 8)]","[('13.248.169.48', 1), ('76.223.54.146', 1), ('91.195.240.94', 1)]",2445
reset by peer')),7,"[('0.0', 7)]","[('35.190.1.20', 1), ('45.84.30.21', 1), ('18.217.251.129', 1)]",1723
(Status Code: 502),6,"[('0.0', 6)]","[('52.210.20.76', 6), ('dns.cam-content.com.', 1)]",3802
(Status Code: 500),6,"[('0.0', 6)]","[('188.114.96.7', 5), ('188.114.97.7', 5), ('193.233.203.246', 1)]",296
(Status Code: 436),5,"[('0.0', 5)]","[('91.195.240.12', 3), ('91.195.240.94', 2)]",2736
issuer certificate (_ssl.c:1129)'))),4,"[('0.0', 4)]","[('89.221.250.47', 1), ('46.8.8.200', 1), ('45.141.180.166', 1)]",2938
handshake failure,4,"[('0.0', 4)]","[('193.141.3.77', 1), ('13.226.175.81', 1), ('13.226.175.31', 1)]",156
internal error (_ssl.c:1129)'))),3,"[('0.0', 3)]","[('107.149.122.22', 1), ('84.32.84.32', 1), ('138.201.29.115', 1)]",1741
(Status Code: 555),2,"[('0.0', 2)]","[('94.231.103.19', 1), ('185.20.205.62', 1)]",4450
(Status Code: 401),2,"[('0.0', 2)]","[('argon.molinero.dev.', 1), ('138.201.92.216', 1), ('198.185.159.144', 1)]",2388
(Status Code: 521),2,"[('0.0', 2)]","[('104.21.92.204', 1), ('172.67.197.180', 1), ('188.114.96.7', 1)]",317
(Status Code: 429),2,"[('0.0', 2)]","[('188.114.96.7', 1), ('188.114.97.7', 1), ('104.21.12.221', 1)]",368
(Status Code: 451),1,"[('0.0', 1)]","[('104.21.84.51', 1), ('172.67.186.146', 1)]",318
(Status Code: 204),1,"[('0.0', 1)]","[('104.21.23.12', 1), ('172.67.208.70', 1)]",318
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.59.6', 1), ('172.67.167.97', 1)]",307
Exceeded 30 redirects.,1,"[('0.0', 1)]","[('104.21.64.1', 1), ('104.21.16.1', 1), ('104.21.48.1', 1)]",333
(Status Code: 503),1,"[('0.0', 1)]","[('104.21.80.1', 1), ('104.21.96.1', 1), ('104.21.64.1', 1)]",377
(Status Code: 202),1,"[('0.0', 1)]","[('3.165.255.92', 1), ('3.165.255.121', 1), ('3.165.255.56', 1)]",39
(Status Code: 523),1,"[('0.0', 1)]","[('188.114.96.7', 1), ('188.114.97.7', 1)]",322
