https_status,Count,DNS Status,Top 3 IPs,Average TTL
SSL Errors,6427,"[('0.0', 6425)]","[('blogspot.l.googleusercontent.com.', 3134), ('216.58.204.225', 2856), ('142.251.209.1', 2654)]",874
Connection Errors,2484,"[('3.0', 2109), ('0.0', 274), ('2.0', 56)]","[('a.ns.tk. joost\\.zuurbier.dot.tk. 1738402442 10800 3600 604800 5', 247), ('a0.info.afilias-nst.info. hostmaster.donuts.email. 1738751065 7200 900 1209600 3600', 24), ('a0.info.afilias-nst.info. hostmaster.donuts.email. 1738747264 7200 900 1209600 3600', 20)]",1479
(Status Code: 200),391,"[('0.0', 391)]","[('blogspot.l.googleusercontent.com.', 118), ('216.58.204.225', 107), ('142.251.209.1', 102)]",1107
Timeout Errors,254,"[('0.0', 254)]","[('64.70.19.203', 12), ('perso105-g5.free.fr.', 9), ('212.27.63.105', 9)]",2312
(Status Code: 404),184,"[('0.0', 184)]","[('blogspot.l.googleusercontent.com.', 83), ('216.58.205.33', 74), ('216.58.204.225', 73)]",486
Dismatch,113,"[('0.0', 113)]","[('66.254.100.196', 10), ('92.63.163.157', 4), ('91.208.175.120', 3)]",3423
Self signed certificate,79,"[('0.0', 79)]","[('209.216.87.66', 5), ('35.221.175.82', 4), ('208.91.197.27', 4)]",2579
unrecognized name (_ssl.c:1129)'))),74,"[('0.0', 74)]","[('76.223.54.146', 57), ('13.248.169.48', 40), ('212.53.215.52', 3)]",4070
reset by peer')),32,"[('0.0', 32)]","[('212.29.175.18', 2), ('216.127.60.16', 2), ('178.250.169.6', 2)]",3320
(Status Code: 403),31,"[('0.0', 31)]","[('104.21.112.1', 6), ('104.21.80.1', 6), ('104.21.32.1', 6)]",735
of protocol (_ssl.c:1129)'))),26,"[('0.0', 26)]","[('35.190.1.20', 5), ('76.223.54.146', 4), ('198.251.81.30', 2)]",2941
(Status Code: 410),19,"[('0.0', 19)]","[('185.53.177.54', 3), ('185.53.177.51', 3), ('185.53.177.53', 2)]",1421
Certificate expired,11,"[('0.0', 11)]","[('176.9.82.176', 1), ('cdn.fffyy.com.', 1), ('23.225.71.96', 1)]",2689
internal error (_ssl.c:1129)'))),9,"[('0.0', 9)]","[('76.223.32.228', 2), ('107.149.122.22', 1), ('217.160.0.3', 1)]",2351
out. (read timeout=15),8,"[('0.0', 8)]","[('208.98.43.11', 1), ('172.67.137.216', 1), ('104.21.78.220', 1)]",1309
handshake failure,8,"[('0.0', 8)]","[('193.141.3.77', 1), ('18.65.64.125', 1), ('18.65.64.108', 1)]",167
version number (_ssl.c:1129)'))),4,"[('0.0', 4)]","[('204.16.169.54', 4)]",39
connection without response')),3,"[('0.0', 3)]","[('52.20.84.62', 1), ('69.16.230.165', 1), ('92.113.16.180', 1)]",2955
(Status Code: 555),2,"[('0.0', 2)]","[('94.231.103.19', 1), ('185.20.205.62', 1)]",4483
(Status Code: 406),1,"[('0.0', 1)]","[('192.254.185.185', 1)]",4404
(Status Code: 401),1,"[('0.0', 1)]","[('argon.molinero.dev.', 1), ('138.201.92.216', 1)]",299
(Status Code: 451),1,"[('0.0', 1)]","[('104.21.84.51', 1), ('172.67.186.146', 1)]",243
(Status Code: 500),1,"[('0.0', 1)]","[('172.67.182.104', 1)]",363
Exceeded 30 redirects.,1,"[('0.0', 1)]","[('104.21.32.1', 1), ('104.21.48.1', 1), ('104.21.112.1', 1)]",284
(Status Code: 202),1,"[('0.0', 1)]","[('108.139.210.78', 1), ('108.139.210.50', 1), ('108.139.210.28', 1)]",18
