Category,Domain Count
129,700
32,310
3,277
163,273
44,208
42,162
10,146
25,130
167,101
23,87
49,85
183,85
27,78
8,50
191,48
190,45
175,44
139,38
182,33
18,33
37,32
169,31
179,27
55,27
115,26
34,26
39,24
192,24
172,24
11,22
40,21
132,18
123,16
161,16
33,15
168,15
211,14
50,13
207,13
180,12
131,12
58,10
127,9
0,9
137,9
122,9
35,9
24,8
173,8
53,7
189,7
171,7
43,7
54,7
188,6
6,6
41,6
52,5
128,5
196,5
200,4
111,4
29,4
194,4
20,4
17,4
193,3
31,3
119,3
187,3
1,3
117,3
178,3
4,3
19,3
36,3
16,3
177,3
21,3
126,2
118,2
22,2
164,2
26,2
45,2
13,2
51,2
210,2
134,2
136,2
112,2
162,1
7,1
135,1
48,1
195,1
15,1
28,1
198,1
47,1
165,1
5,1
14,1
57,1
144,1
113,1
107,1
138,1
145,1
130,1
201,1
