website,https_status,return_code,ip,size,ttl,response_time,exception
datatech.icu,Accessible (Status Code: 200),0,['165.227.162.191'],46,1800,0.0032770633697509766,False
dirproxy.com,Blocked - Client Error (Status Code: 403),0,"['172.67.190.12', '104.21.73.129']",62,299,0.004040956497192383,False
proxyen.com,Accessible (Status Code: 200),0,"['172.67.210.158', '104.21.77.175']",61,299,0.0026328563690185547,False
oneproxy.net,Blocked - Client Error (Status Code: 403),0,"['188.114.96.7', '188.114.97.7']",62,299,0.0033140182495117188,False
newipnow.com,Accessible (Status Code: 200),0,"['172.67.192.175', '104.21.76.101']",62,298,0.0035767555236816406,False
con.sh,Accessible (Status Code: 200),0,['8.217.254.59'],40,598,0.002998828887939453,False
daili321.com,"Error: HTTPSConnectionPool(host='daili321.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f79cd585160>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,[],30,0,0.0034971237182617188,False
litport.net,Accessible (Status Code: 200),0,"['188.114.96.7', '188.114.97.7']",61,298,0.0026140213012695312,False
peacefire.org,"Error: HTTPSConnectionPool(host='peacefire.org', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f79cd751970>: Failed to establish a new connection: [Errno 61] Connection refused'))",0,['209.74.64.183'],47,598,0.0031578540802001953,False
unblocked2.us,Blocked - Client Error (Status Code: 403),0,"['104.21.64.1', '104.21.96.1', '104.21.48.1', '104.21.112.1', '104.21.16.1', '104.21.80.1', '104.21.32.1']",143,298,0.0025482177734375,False
reflect4.me,Accessible (Status Code: 200),0,"['172.67.184.214', '104.21.59.231']",61,298,0.004224061965942383,False
unblocked.icu,Blocked - Client Error (Status Code: 403),0,"['172.67.208.32', '104.21.15.222']",63,298,0.002705097198486328,False
ip3366.net,"Error: HTTPSConnectionPool(host='ip3366.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f79cd7ba4c0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,[],28,0,0.0026979446411132812,False
unblocked2.online,Blocked - Client Error (Status Code: 403),0,"['172.67.166.102', '104.21.16.49']",67,298,0.0026340484619140625,False
hideandgo.com,Accessible (Status Code: 200),0,['54.67.42.145'],47,10798,0.0032351016998291016,False
kxdaili.com,"Error: HTTPSConnectionPool(host='kxdaili.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)')))",0,"['all.kxdaili.com.w.kunlunar.com.', '61.160.192.99']",89,58,0.0042209625244140625,False
supp.co,Accessible (Status Code: 200),0,"['104.26.8.217', '172.67.69.199', '104.26.9.217']",73,298,0.002721071243286133,False
freepgs.com,"Error: HTTPSConnectionPool(host='freepgs.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f79cd76c9a0>, 'Connection to freepgs.com timed out. (connect timeout=3)'))",0,['168.235.65.152'],45,3597,0.0035729408264160156,False
uproxy.co,Blocked - Client Error (Status Code: 403),0,"['104.21.58.218', '172.67.208.152']",59,297,0.003147125244140625,False
onion.top,Blocked - Client Error (Status Code: 404),0,['208.100.26.245'],43,297,0.0030112266540527344,False
