website,https_status,return_code,ip,size,ttl,response_time,exception
datatech.icu,Accessible (Status Code: 200),0,['165.227.162.191'],46,2247,0.0037937164306640625,False
dirproxy.com,Blocked - Client Error (Status Code: 403),0,"['172.67.190.12', '104.21.73.129']",62,373,0.003754138946533203,False
proxyen.com,Accessible (Status Code: 200),0,"['104.21.77.175', '172.67.210.158']",61,373,0.0034711360931396484,False
oneproxy.net,Blocked - Client Error (Status Code: 403),0,"['172.67.128.170', '104.21.2.35']",62,373,0.003215312957763672,False
newipnow.com,Accessible (Status Code: 200),0,"['104.21.76.101', '172.67.192.175']",62,373,0.14867305755615234,False
con.sh,Accessible (Status Code: 200),0,['8.217.254.59'],40,747,0.018558979034423828,False
daili321.com,"Error: HTTPSConnectionPool(host='daili321.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f83cd75a7f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['dns29.hichina.com. hostmaster.hichina.com. 2024120417 3600 1200 86400 600'],91,600,0.0038487911224365234,False
litport.net,Accessible (Status Code: 200),0,"['172.67.142.195', '104.21.95.38']",61,372,0.12771391868591309,False
peacefire.org,"Error: HTTPSConnectionPool(host='peacefire.org', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f83cd5ae130>: Failed to establish a new connection: [Errno 61] Connection refused'))",0,['209.74.64.183'],47,747,0.009330987930297852,False
unblocked2.us,Blocked - Client Error (Status Code: 403),0,"['104.21.16.1', '104.21.96.1', '104.21.64.1', '104.21.80.1', '104.21.48.1', '104.21.32.1', '104.21.112.1']",143,372,0.004058122634887695,False
reflect4.me,Accessible (Status Code: 200),0,"['104.21.59.231', '172.67.184.214']",61,372,0.004149913787841797,False
unblocked.icu,Blocked - Client Error (Status Code: 403),0,"['104.21.15.222', '172.67.208.32']",63,372,0.003376007080078125,False
ip3366.net,"Error: HTTPSConnectionPool(host='ip3366.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f83cd462f70>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['stingray.dnspod.net. freednsadmin.dnspod.com. 1720522985 3600 180 1209600 180'],103,180,0.003634214401245117,False
unblocked2.online,Blocked - Client Error (Status Code: 403),0,"['172.67.166.102', '104.21.16.49']",67,372,0.003453969955444336,False
hideandgo.com,Accessible (Status Code: 200),0,['54.67.42.145'],47,4496,0.006143093109130859,False
kxdaili.com,"Error: HTTPSConnectionPool(host='kxdaili.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)')))",0,"['all.kxdaili.com.w.kunlunar.com.', '61.160.192.99']",86,71,0.003931999206542969,False
supp.co,Accessible (Status Code: 200),0,"['104.26.8.217', '172.67.69.199', '104.26.9.217']",73,371,0.003332853317260742,False
