website,https_status,return_code,ip,size,ttl,response_time,exception
datatech.icu,"Error: HTTPSConnectionPool(host='datatech.icu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['165.227.162.191'],46,2252,0.17131710052490234,False
dirproxy.com,"Error: HTTPSConnectionPool(host='dirproxy.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['172.67.190.12', '104.21.73.129']",62,377,0.039572954177856445,False
proxyen.com,"Error: HTTPSConnectionPool(host='proxyen.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.77.175', '172.67.210.158']",61,377,0.05186104774475098,False
oneproxy.net,"Error: HTTPSConnectionPool(host='oneproxy.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['188.114.96.7', '188.114.97.7']",62,377,0.025019168853759766,False
newipnow.com,"Error: HTTPSConnectionPool(host='newipnow.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['172.67.192.175', '104.21.76.101']",62,377,0.0289309024810791,False
con.sh,Accessible (Status Code: 200),0,['8.217.254.59'],40,750,0.01503896713256836,False
daili321.com,"Error: HTTPSConnectionPool(host='daili321.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff32c5334f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['dns29.hichina.com. hostmaster.hichina.com. 2024120417 3600 1200 86400 600'],91,600,0.0070648193359375,False
litport.net,Accessible (Status Code: 200),0,"['188.114.96.7', '188.114.97.7']",61,375,0.2614099979400635,False
peacefire.org,"Error: HTTPSConnectionPool(host='peacefire.org', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff32c757700>: Failed to establish a new connection: [Errno 61] Connection refused'))",0,['209.74.64.183'],47,749,0.017287731170654297,False
unblocked2.us,"Error: HTTPSConnectionPool(host='unblocked2.us', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.64.1', '104.21.96.1', '104.21.16.1', '104.21.48.1', '104.21.32.1', '104.21.80.1', '104.21.112.1']",143,374,0.009528160095214844,False
reflect4.me,Accessible (Status Code: 200),0,"['104.21.59.231', '172.67.184.214']",61,374,0.008735895156860352,False
unblocked.icu,"Error: HTTPSConnectionPool(host='unblocked.icu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.15.222', '172.67.208.32']",63,374,0.13647890090942383,False
ip3366.net,"Error: HTTPSConnectionPool(host='ip3366.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff32c757310>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['stingray.dnspod.net. freednsadmin.dnspod.com. 1720522985 3600 180 1209600 180'],103,180,0.014928817749023438,False
unblocked2.online,"Error: HTTPSConnectionPool(host='unblocked2.online', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.16.49', '172.67.166.102']",67,374,0.014302968978881836,False
hideandgo.com,"Error: HTTPSConnectionPool(host='hideandgo.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['54.67.42.145'],47,4499,0.13991618156433105,False
kxdaili.com,"Error: HTTPSConnectionPool(host='kxdaili.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)')))",0,"['all.kxdaili.com.w.kunlunar.com.', '61.160.192.99']",86,74,0.010506868362426758,False
supp.co,"Error: HTTPSConnectionPool(host='supp.co', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['172.67.69.199', '104.26.8.217', '104.26.9.217']",73,374,0.007825136184692383,False
freepgs.com,"Error: HTTPSConnectionPool(host='freepgs.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7ff32c78cee0>, 'Connection to freepgs.com timed out. (connect timeout=3)'))",0,['168.235.65.152'],45,4499,0.010951042175292969,False
uproxy.co,"Error: HTTPSConnectionPool(host='uproxy.co', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.58.218', '172.67.208.152']",59,374,0.13595294952392578,False
onion.top,"Error: HTTPSConnectionPool(host='onion.top', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['208.100.26.245'],43,374,0.007658958435058594,False
