website,https_status,return_code,ip,size,ttl,response_time,exception
datatech.icu,Accessible (Status Code: 200),0,['165.227.162.191'],46,1809,0.005853891372680664,False
dirproxy.com,Blocked - Client Error (Status Code: 403),0,"['104.21.73.129', '172.67.190.12']",62,377,0.15388703346252441,False
proxyen.com,Accessible (Status Code: 200),0,"['104.21.77.175', '172.67.210.158']",61,377,0.2626149654388428,False
oneproxy.net,Blocked - Client Error (Status Code: 403),0,"['172.67.128.170', '104.21.2.35']",62,377,0.13293004035949707,False
newipnow.com,Accessible (Status Code: 200),0,"['172.67.192.175', '104.21.76.101']",62,377,0.14762401580810547,False
con.sh,Accessible (Status Code: 200),0,['8.217.254.59'],40,306,0.005600929260253906,False
daili321.com,"Error: HTTPSConnectionPool(host='daili321.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd301d3e0a0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['dns29.hichina.com. hostmaster.hichina.com. 2024120417 3600 1200 86400 600'],91,600,0.0060901641845703125,False
litport.net,Accessible (Status Code: 200),0,"['104.21.95.38', '172.67.142.195']",61,377,0.13653111457824707,False
peacefire.org,"Error: HTTPSConnectionPool(host='peacefire.org', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd301d26d30>: Failed to establish a new connection: [Errno 61] Connection refused'))",0,['209.74.64.183'],47,306,0.0058481693267822266,False
unblocked2.us,Blocked - Client Error (Status Code: 403),0,"['104.21.48.1', '104.21.80.1', '104.21.112.1', '104.21.96.1', '104.21.64.1', '104.21.32.1', '104.21.16.1']",143,377,0.09716486930847168,False
reflect4.me,Accessible (Status Code: 200),0,"['104.21.59.231', '172.67.184.214']",61,377,0.11422586441040039,False
unblocked.icu,Blocked - Client Error (Status Code: 403),0,"['104.21.15.222', '172.67.208.32']",63,377,0.08872509002685547,False
ip3366.net,"Error: HTTPSConnectionPool(host='ip3366.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd302418c70>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['stingray.dnspod.net. freednsadmin.dnspod.com. 1720522985 3600 180 1209600 180'],103,180,0.0047359466552734375,False
unblocked2.online,Blocked - Client Error (Status Code: 403),0,"['172.67.166.102', '104.21.16.49']",67,377,0.10309576988220215,False
hideandgo.com,Accessible (Status Code: 200),0,['54.67.42.145'],47,4055,0.0058040618896484375,False
kxdaili.com,"Error: HTTPSConnectionPool(host='kxdaili.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)')))",0,"['all.kxdaili.com.w.kunlunar.com.', '61.160.192.99']",86,73,0.007812023162841797,False
supp.co,Accessible (Status Code: 200),0,"['104.26.8.217', '104.26.9.217', '172.67.69.199']",73,377,0.07682609558105469,False
freepgs.com,"Error: HTTPSConnectionPool(host='freepgs.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fd301d1db80>, 'Connection to freepgs.com timed out. (connect timeout=3)'))",0,['168.235.65.152'],45,4055,0.005480051040649414,False
uproxy.co,Blocked - Client Error (Status Code: 403),0,"['104.21.58.218', '172.67.208.152']",59,377,0.08058619499206543,False
onion.top,Blocked - Client Error (Status Code: 404),0,['208.100.26.245'],43,377,0.2841987609863281,False
proxylite.com,Accessible (Status Code: 200),0,"['172.67.137.213', '104.21.86.236']",63,377,0.07993316650390625,False
b2pk.com,Accessible (Status Code: 200),0,['69.64.51.50'],42,1805,0.00826406478881836,False
