website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 403),0.0,['188.164.158.108'],42.0,300.0,0.11162710189819336,False,
latinboyz.com,Accessible (Status Code: 200),0.0,['135.148.2.200'],47.0,300.0,0.28818464279174805,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,14400.0,0.20757603645324707,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.customercare.co', 'customercare.co'"")))",0.0,['184.94.149.216'],48.0,21600.0,0.15781307220458984,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb7460feaf0>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,3600.0,0.11010527610778809,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['35.244.153.44', '34.149.36.179', '35.227.194.51', '34.160.81.203']",94.0,30.0,0.07283926010131836,False,
kikoushi.jp,Accessible (Status Code: 200),0.0,['124.35.41.253'],45.0,1200.0,0.33542823791503906,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,1993.0,0.06220507621765137,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,300.0,0.10189390182495117,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,3600.0,0.1343080997467041,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,3600.0,0.08031177520751953,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['172.67.153.216', '104.21.72.182']",68.0,284.0,0.06429290771484375,False,
angryorchard.com,Accessible (Status Code: 200),0.0,['13.107.246.40'],50.0,1800.0,0.0978398323059082,False,
goshango.com,Accessible (Status Code: 200),0.0,"['104.26.13.54', '172.67.68.157', '104.26.12.54']",78.0,300.0,0.10332608222961426,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['188.114.96.9', '188.114.97.9']",61.0,300.0,0.07568907737731934,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['188.114.96.7', '188.114.97.7']",65.0,300.0,0.09117579460144043,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['104.21.69.44', '172.67.204.84']",62.0,300.0,0.09085702896118164,False,
vrcbet.com,"Error: HTTPSConnectionPool(host='vrcbet.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb7460fed90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739797892 1800 900 604800 900'],101.0,900.0,0.06853580474853516,False,
virtual-horizon.com,"Error: HTTPSConnectionPool(host='virtual-horizon.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb746054f10>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2365069932 10000 2400 604800 1800'],100.0,1800.0,0.09824061393737793,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,1799.0,0.0781869888305664,False,
passionmanga.online,Blocked - Client Error (Status Code: 403),0.0,"['104.21.64.1', '104.21.16.1', '104.21.96.1', '104.21.48.1', '104.21.112.1', '104.21.32.1', '104.21.80.1']",149.0,300.0,0.12359476089477539,False,
craftshack.com,Accessible (Status Code: 200),0.0,['23.227.38.32'],48.0,600.0,0.07944011688232422,False,
ore-aroma.jp,Accessible (Status Code: 200),0.0,['133.18.78.138'],46.0,3600.0,0.32846999168395996,False,
lottomat.com,Accessible (Status Code: 200),0.0,"['104.21.46.23', '172.67.222.159']",62.0,300.0,0.08849287033081055,False,
smsm.ph,Accessible (Status Code: 200),0.0,"['99.83.162.94', '13.248.251.78']",57.0,283.0,0.07656693458557129,False,
read-lookism.com,Accessible (Status Code: 200),0.0,"['172.67.159.190', '104.21.9.105']",66.0,300.0,0.08282589912414551,False,
bangbrosteenporn.com,Accessible (Status Code: 200),0.0,"['104.26.1.208', '104.26.0.208', '172.67.71.32']",86.0,283.0,0.05122780799865723,False,
kuro-ai.com,Accessible (Status Code: 200),0.0,"['104.26.7.8', '172.67.70.159', '104.26.6.8']",77.0,300.0,0.07809305191040039,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['172.67.179.166', '104.21.31.197']",66.0,300.0,0.10100364685058594,False,
lauxanh.one,Blocked - Client Error (Status Code: 404),0.0,"['104.21.95.38', '172.67.142.195']",61.0,300.0,0.07112288475036621,False,
zooporn.video,Accessible (Status Code: 200),0.0,"['104.21.16.1', '104.21.112.1', '104.21.48.1', '104.21.96.1', '104.21.80.1', '104.21.32.1', '104.21.64.1']",143.0,300.0,0.06624102592468262,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,21600.0,0.5056841373443604,False,
casinohex.co.za,Accessible (Status Code: 200),0.0,"['172.67.74.224', '104.26.4.169', '104.26.5.169']",81.0,300.0,0.06707596778869629,False,
essay-reviews.com,Accessible (Status Code: 200),0.0,"['35.152.117.67', '15.160.106.203', '15.161.34.42']",83.0,28.0,0.05719590187072754,False,
brombet.com,Accessible (Status Code: 200),0.0,['83.164.147.113'],45.0,207.0,0.06661510467529297,False,
sssexxx.net,Accessible (Status Code: 200),0.0,['209.126.108.36'],45.0,3371.0,0.08893394470214844,False,
fpack.jp,Accessible (Status Code: 200),0.0,['210.239.38.188'],42.0,600.0,0.09102511405944824,False,
nashstore.ru,Accessible (Status Code: 200),0.0,['95.181.181.62'],46.0,120.0,0.1234278678894043,False,
oldiepornos.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",65.0,300.0,0.06085491180419922,False,
uzxit.net,Accessible (Status Code: 200),0.0,['195.3.221.161'],43.0,300.0,0.06353878974914551,False,
1lib.ph,Accessible (Status Code: 200),0.0,['176.123.7.105'],41.0,10.0,0.2088298797607422,False,
dszbok.com,Accessible (Status Code: 200),0.0,['47.243.172.248'],44.0,181.0,0.07758402824401855,False,
9nunghd.com,Accessible (Status Code: 200),0.0,"['188.114.96.7', '188.114.97.7']",61.0,300.0,0.07652115821838379,False,
scaryforkids.com,Accessible (Status Code: 200),0.0,"['172.67.134.22', '104.21.5.251']",66.0,300.0,0.07507109642028809,False,
meeticaffinity.it,Accessible (Status Code: 200),0.0,['62.23.26.20'],51.0,20.0,0.08095812797546387,False,
banana.porn,Blocked - Client Error (Status Code: 403),0.0,"['104.21.48.1', '104.21.96.1', '104.21.80.1', '104.21.112.1', '104.21.32.1', '104.21.16.1', '104.21.64.1']",141.0,300.0,0.09226703643798828,False,
extremereach.com,Blocked - Client Error (Status Code: 403),0.0,"['141.193.213.20', '141.193.213.21']",66.0,30.0,0.07258915901184082,False,
kungaslottet.se,Blocked - Client Error (Status Code: 403),0.0,"['104.26.5.195', '104.26.4.195', '172.67.68.166']",81.0,300.0,0.06061100959777832,False,
zaochnik.com,Accessible (Status Code: 200),0.0,"['104.21.112.1', '104.21.32.1', '104.21.80.1', '104.21.48.1', '104.21.96.1', '104.21.16.1', '104.21.64.1']",142.0,300.0,0.18306708335876465,False,
114bet8.com,Accessible (Status Code: 200),0.0,"['108.157.188.109', '108.157.188.8', '108.157.188.95', '108.157.188.9']",93.0,60.0,0.07995796203613281,False,
mydesi2.mobi,Accessible (Status Code: 200),0.0,"['104.21.81.242', '172.67.192.31']",62.0,280.0,0.07920122146606445,False,
beyzam.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",60.0,300.0,0.07399582862854004,False,
quinnbet.com,Blocked - Client Error (Status Code: 403),0.0,['104.18.4.148'],46.0,600.0,0.0743408203125,False,
cambro.today,Accessible (Status Code: 200),0.0,['94.102.51.53'],46.0,880.0,0.058367013931274414,False,
tanzpartner.de,Accessible (Status Code: 200),0.0,['217.160.0.43'],48.0,3600.0,0.10067510604858398,False,
ibomma.io,Accessible (Status Code: 200),0.0,"['216.239.34.21', '216.239.36.21', '216.239.32.21', '216.239.38.21']",91.0,300.0,0.4011061191558838,False,
bokep3gp.top,Accessible (Status Code: 200),0.0,['51.91.221.56'],46.0,21600.0,0.09720230102539062,False,
18xxx.su,"Error: HTTPSConnectionPool(host='18xxx.su', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb746616280>: Failed to establish a new connection: [Errno 61] Connection refused'))",0.0,['213.174.130.131'],42.0,1200.0,0.09514021873474121,False,
zorgfilm.com.co,Blocked - Client Error (Status Code: 403),0.0,"['172.67.206.181', '104.21.77.104']",65.0,300.0,0.07580423355102539,False,
8xbet06.blog,Blocked - Client Error (Status Code: 403),0.0,"['104.26.3.88', '172.67.72.14', '104.26.2.88']",78.0,300.0,0.10672998428344727,False,
ashemaletubeporn.com,Accessible (Status Code: 200),0.0,['45.138.128.185'],54.0,60.0,0.08309793472290039,False,
panas777.info,Accessible (Status Code: 200),0.0,"['172.67.164.28', '104.21.65.148']",63.0,300.0,0.07390999794006348,False,
hentaizap.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",63.0,300.0,0.06538200378417969,False,
isproxyip.com,Accessible (Status Code: 200),0.0,"['104.21.16.1', '104.21.112.1', '104.21.64.1', '104.21.96.1', '104.21.80.1', '104.21.48.1', '104.21.32.1']",143.0,300.0,0.07890510559082031,False,
flashdown365.com,"Error: HTTPSConnectionPool(host='flashdown365.com', port=443): Read timed out. (read timeout=15)",0.0,"['104.21.80.1', '104.21.64.1', '104.21.32.1', '104.21.96.1', '104.21.48.1', '104.21.16.1', '104.21.112.1']",146.0,300.0,0.08946013450622559,False,
sexsaoy.com,Accessible (Status Code: 200),0.0,['217.12.200.79'],45.0,1995.0,0.06280708312988281,False,
salasdechatgratis.org,Accessible (Status Code: 200),0.0,['37.252.97.191'],55.0,14400.0,0.3795890808105469,False,
sattakingexpert.in,Accessible (Status Code: 200),0.0,['92.113.23.252'],52.0,38.0,0.07636499404907227,False,
holyodds.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",62.0,300.0,0.07958483695983887,False,
turismodevino.com,Accessible (Status Code: 200),0.0,['82.98.178.185'],51.0,300.0,0.09773516654968262,False,
nyafilmer.gg,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",62.0,278.0,0.054818153381347656,False,
feniksscasino.lv,Accessible (Status Code: 200),0.0,['94.136.112.167'],50.0,60.0,0.09418487548828125,False,
anifound.com,Accessible (Status Code: 200),0.0,"['104.21.64.1', '104.21.96.1', '104.21.112.1', '104.21.48.1', '104.21.16.1', '104.21.80.1', '104.21.32.1']",142.0,300.0,0.08546996116638184,False,
