https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 200,6931,"[('0.0', 4143), ('0', 2787), ('2.0', 1)]","[('104.21.16.1', 714), ('104.21.112.1', 714), ('104.21.48.1', 714)]",2011
Status Code: 403,1265,"[('0.0', 755), ('0', 510)]","[('104.21.64.1', 143), ('104.21.16.1', 143), ('104.21.96.1', 143)]",788
Connection Errors,653,"[('0.0', 235), ('3.0', 117), ('0', 116), ('3', 86), ('2.0', 52), ('2', 33)]","[('195.2.84.111', 16), ('127.0.0.1', 9), ('a0.nic.bet. hostmaster.donuts.email. 1739798996 7200 900 1209600 3600', 9)]",1848
Timeout Errors,223,"[('0.0', 122), ('0', 101)]","[('104.21.80.1', 18), ('104.21.64.1', 18), ('104.21.32.1', 18)]",2309
Dismatch,142,"[('0.0', 81), ('0', 61)]","[('142.250.180.142', 3), ('52.223.39.56', 3), ('152.53.67.90', 3)]",4230
Status Code: 404,102,"[('0.0', 61), ('0', 41)]","[('104.21.16.1', 9), ('104.21.80.1', 9), ('104.21.96.1', 9)]",1882
connection without response,92,"[('0.0', 54), ('0', 35)]","[('72.52.178.23', 37), ('69.16.230.165', 23), ('72.52.179.174', 4)]",9548
Certificate expired,76,"[('0.0', 47), ('0', 29)]","[('35.221.175.82', 6), ('39.110.250.2', 5), ('188.166.241.70', 3)]",3620
self signed certificate,51,"[('0.0', 37), ('0', 14)]","[('69.16.230.165', 2), ('5.45.73.205', 2), ('147.92.146.242', 2)]",5200
Status Code: 406,44,"[('0.0', 28), ('0', 16)]","[('185.98.55.81', 16), ('88.208.20.10', 16), ('scashwl.com.', 5)]",4595
Status Code: 410,37,"[('0.0', 21), ('0', 16)]","[('75.2.37.224', 7), ('75.2.18.233', 3), ('185.53.177.51', 2)]",1227
Status Code: 502,35,"[('0.0', 19), ('0', 16)]","[('193.148.245.145', 1), ('193.148.244.177', 1), ('190.115.31.234', 1)]",1364
Status Code: 520,35,"[('0.0', 20), ('0', 15)]","[('188.114.97.7', 9), ('188.114.96.7', 9), ('104.21.48.1', 8)]",286
reset by peer,32,"[('0.0', 18), ('0', 14)]","[('45.84.0.207', 2), ('185.213.91.19', 2), ('213.186.33.5', 2)]",2387
unable to get local issuer certificate,31,"[('0.0', 22), ('0', 9)]","[('153.120.10.22', 2), ('153.120.10.24', 2), ('80.82.76.121', 1)]",3024
Status Code: 500,25,"[('0.0', 14), ('0', 11)]","[('104.21.32.1', 6), ('104.21.96.1', 6), ('104.21.16.1', 6)]",719
Status Code: 203,23,"[('0.0', 15), ('0', 8)]","[('45.155.53.149', 2), ('212.23.222.98', 2), ('185.225.114.106', 2)]",5490
Status Code: 429,22,"[('0.0', 11), ('0', 11)]","[('109.206.162.36', 3), ('109.206.167.145', 3), ('109.206.162.41', 2)]",3340
Status Code: 503,17,"[('0.0', 12), ('0', 5)]","[('85.184.96.0', 5), ('104.21.112.1', 4), ('104.21.32.1', 4)]",4308
Exceeded 30 redirects,16,"[('0.0', 11), ('0', 5)]","[('104.21.64.1', 6), ('104.21.32.1', 6), ('104.21.112.1', 6)]",806
(Status Code: 526),15,"[('0.0', 10), ('0', 5)]","[('188.114.97.7', 7), ('188.114.96.7', 7), ('104.21.64.1', 2)]",298
violation of protocol,15,"[('0.0', 10), ('0', 5)]","[('35.190.1.20', 7), ('216.239.36.21', 4), ('216.239.34.21', 4)]",1682
handshake failure,14,"[('0.0', 7), ('0', 7)]","[('45.81.58.38', 2), ('13.226.175.3', 1), ('13.226.175.128', 1)]",676
(Status Code: 436),13,"[('0', 7), ('0.0', 6)]","[('91.195.240.12', 7), ('64.190.63.222', 3), ('91.195.240.123', 1)]",4253
(Status Code: 521),12,"[('0.0', 10), ('0', 2)]","[('104.21.112.1', 3), ('104.21.80.1', 3), ('104.21.64.1', 3)]",269
(Status Code: 523),10,"[('0', 6), ('0.0', 4)]","[('188.114.96.7', 2), ('188.114.97.7', 2), ('172.67.74.24', 1)]",300
(Status Code: 405),9,"[('0', 5), ('0.0', 4)]","[('217.19.237.54', 1), ('108.156.2.92', 1), ('108.156.2.41', 1)]",553
internal error (_ssl.c:1129)'))),8,"[('0.0', 5), ('0', 3)]","[('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1), ('blogct420x.fc2.me.', 1)]",1391
(Status Code: 530),6,"[('0.0', 4), ('0', 2)]","[('172.67.160.66', 1), ('104.21.9.155', 1), ('188.114.97.7', 1)]",544
(Status Code: 451),5,"[('0', 3), ('0.0', 2)]","[('45.60.111.67', 3), ('107.154.133.67', 3), ('185.197.162.135', 1)]",816
version number (_ssl.c:1129)'))),5,"[('0', 4), ('0.0', 1)]","[('133.18.10.166', 1), ('99.192.136.234', 1), ('77.83.173.245', 1)]",302
(Status Code: 202),4,"[('0.0', 2), ('0', 2)]","[('99.86.4.128', 1), ('99.86.4.7', 1), ('99.86.4.80', 1)]",120
(Status Code: 400),4,"[('0.0', 3), ('0', 1)]","[('104.21.112.1', 2), ('104.21.64.1', 2), ('104.21.80.1', 2)]",284
(Status Code: 401),3,"[('0.0', 3)]","[('185.104.211.35', 1), ('172.67.148.53', 1), ('104.21.41.157', 1)]",300
unrecognized name (_ssl.c:1129)'))),3,"[('0.0', 2), ('0', 1)]","[('77980.bodis.com.', 1), ('199.59.243.228', 1), ('89.31.143.90', 1)]",1638
(Status Code: 204),3,"[('0', 2), ('0.0', 1)]","[('136.243.42.50', 2), ('193.108.118.16', 2), ('23.158.56.123', 2)]",500
(Status Code: 402),2,"[('0.0', 1), ('0', 1)]","[('89.208.113.5', 1), ('78.129.150.19', 1)]",300
(Status Code: 418),2,"[('0.0', 2)]","[('64.181.171.13', 1), ('78.111.102.100', 1), ('188.114.96.7', 1)]",330
incorrect header check')),2,"[('0', 2)]","[('194.1.147.92', 2), ('194.1.147.18', 1), ('194.1.147.90', 1)]",2100
(Status Code: 423),2,"[('0.0', 1), ('0', 1)]","[('185.235.178.5', 2), ('185.224.82.237', 1)]",3600
than 100 headers')),1,"[('0.0', 1)]","[('104.18.42.50', 1), ('172.64.145.206', 1)]",300
(Status Code: 508),1,"[('0', 1)]","[('188.114.97.7', 1), ('188.114.96.7', 1)]",300
(Status Code: 504),1,"[('0.0', 1)]","[('cbpay888.com.w.cdngslb.com.', 1), ('47.246.46.228', 1), ('47.246.46.226', 1)]",60
"BrokenPipeError(32, 'Broken pipe'))",1,"[('0.0', 1)]","[('179.188.43.244', 1)]",3600
(Status Code: 447),1,"[('0.0', 1)]","[('37.187.135.97', 1)]",1800
(Status Code: 999),1,"[('0.0', 1)]","[('172.67.161.42', 1), ('104.21.90.205', 1)]",300
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.48.1', 1), ('104.21.32.1', 1), ('104.21.16.1', 1)]",300
or too long),1,[],[],0
(Status Code: 522),1,"[('0.0', 1)]","[('188.114.96.7', 1), ('188.114.97.7', 1)]",300
(Status Code: 302),1,"[('0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",60
