website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 403),0.0,['188.164.158.108'],42.0,376.0,0.0989530086517334,False,
latinboyz.com,"Error: HTTPSConnectionPool(host='latinboyz.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'latinboyz.com' doesn't match either of '*.safeweb-service.tim.it', '*.bb.safeweb-service.tim.it', '*.dr.safeweb-service.tim.it'"")))",0.0,['85.38.29.152'],47.0,14.0,0.0246431827545166,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,563.0,0.03308701515197754,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.safeweb-service.tim.it', '*.bb.safeweb-service.tim.it', '*.dr.safeweb-service.tim.it'"")))",0.0,['85.38.29.152'],48.0,14.0,0.01036381721496582,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fd80b7a85b0>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,549.0,0.0074329376220703125,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['34.160.81.203', '35.244.153.44', '34.149.36.179', '34.120.190.48']",94.0,24.0,0.008882999420166016,False,
kikoushi.jp,"Error: HTTPSConnectionPool(host='kikoushi.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'kikoushi.jp' doesn't match either of '*.safeweb-service.tim.it', '*.bb.safeweb-service.tim.it', '*.dr.safeweb-service.tim.it'"")))",0.0,['85.38.29.152'],45.0,15.0,0.07829904556274414,False,
1x2stats.com,"Error: HTTPSConnectionPool(host='1x2stats.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname '1x2stats.com' doesn't match either of '*.safeweb-service.tim.it', '*.bb.safeweb-service.tim.it', '*.dr.safeweb-service.tim.it'"")))",0.0,['85.38.29.152'],46.0,15.0,0.0605010986328125,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,362.0,0.008328914642333984,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,549.0,0.00805211067199707,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,549.0,0.00746607780456543,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['104.21.72.182', '172.67.153.216']",68.0,354.0,0.006331920623779297,False,
