https_status,Count,DNS Status,Top 3 IPs,Average TTL
SSL Errors,4254,"[('0.0', 2960), ('0', 1291)]","[('104.21.96.1', 388), ('104.21.112.1', 388), ('104.21.16.1', 388)]",2015
Status Code: 200,3613,"[('0.0', 2540), ('0', 1070)]","[('188.114.97.7', 419), ('188.114.96.7', 419), ('104.21.16.1', 398)]",1795
Status Code: 403,721,"[('0.0', 489), ('0', 230)]","[('104.21.16.1', 89), ('104.21.112.1', 89), ('104.21.96.1', 89)]",693
Connection Errors,645,"[('0.0', 257), ('3.0', 136), ('0', 85), ('3', 67), ('2.0', 61), ('2', 25)]","[('195.2.84.111', 15), ('a0.nic.bet. hostmaster.donuts.email. 1739800893 7200 900 1209600 3600', 10), ('127.0.0.1', 9)]",1776
Timeout Errors,200,"[('0.0', 153), ('0', 47)]","[('174.137.145.52', 3), ('165.160.15.20', 3), ('64.70.19.203', 2)]",3329
Dismatch,80,"[('0.0', 58), ('0', 22)]","[('152.53.67.90', 3), ('8.8.8.8', 2), ('216.58.204.142', 2)]",2967
connection without response,73,"[('0.0', 52), ('0', 21)]","[('72.52.178.23', 33), ('69.16.230.165', 19), ('72.52.179.174', 3)]",10191
Status Code: 404,69,"[('0.0', 47), ('0', 22)]","[('104.21.16.1', 8), ('104.21.96.1', 8), ('104.21.112.1', 8)]",1833
Status Code: 502,55,"[('0.0', 42), ('0', 13)]","[('104.21.112.1', 3), ('104.21.48.1', 3), ('104.21.96.1', 3)]",1871
Certificate expired,44,"[('0.0', 30), ('0', 14)]","[('188.166.241.70', 3), ('37.1.205.41', 2), ('51.83.37.154', 2)]",4156
Status Code: 410,25,"[('0.0', 16), ('0', 9)]","[('75.2.37.224', 6), ('185.53.177.51', 2), ('5.61.52.167', 2)]",969
self signed certificate,23,"[('0.0', 16), ('0', 7)]","[('69.16.230.165', 2), ('147.92.146.242', 2), ('185.127.24.17', 2)]",4903
Status Code: 406,18,"[('0.0', 13), ('0', 5)]","[('151.101.129.91', 2), ('151.101.65.91', 2), ('151.101.1.91', 2)]",7652
Status Code: 500,17,"[('0.0', 12), ('0', 5)]","[('104.21.48.1', 4), ('104.21.16.1', 4), ('104.21.96.1', 4)]",953
Status Code: 520,16,"[('0.0', 9), ('0', 7)]","[('188.114.97.7', 5), ('188.114.96.7', 5), ('104.21.79.245', 1)]",279
Status Code: 526,13,"[('0.0', 11), ('0', 2)]","[('188.114.96.7', 6), ('188.114.97.7', 6), ('104.21.112.1', 2)]",284
violation of protocol,11,"[('0.0', 8), ('0', 3)]","[('35.190.1.20', 4), ('216.239.38.21', 3), ('216.239.34.21', 3)]",1707
handshake failure,11,"[('0.0', 7), ('0', 4)]","[('45.81.58.38', 2), ('13.226.175.3', 1), ('13.226.175.54', 1)]",387
reset by peer,10,"[('0.0', 8), ('0', 2)]","[('185.73.221.200', 1), ('68.183.84.36', 1), ('185.169.253.175', 1)]",2883
Status Code: 436,10,"[('0.0', 5), ('0', 5)]","[('91.195.240.12', 5), ('64.190.63.222', 2), ('91.195.240.123', 1)]",3796
unable to get local issuer certificate,10,"[('0.0', 9), ('0', 1)]","[('35.190.85.91', 1), ('35.241.44.205', 1), ('210.157.234.237', 1)]",2919
(Status Code: 523),10,"[('0.0', 5), ('0', 5)]","[('188.114.96.7', 2), ('188.114.97.7', 2), ('104.21.50.23', 1)]",280
(Status Code: 521),9,"[('0.0', 8), ('0', 1)]","[('104.21.96.1', 4), ('104.21.16.1', 4), ('104.21.112.1', 4)]",300
(Status Code: 203),8,"[('0.0', 7), ('0', 1)]","[('185.225.114.106', 2), ('179.43.172.163', 2), ('207.5.194.234', 2)]",6950
Exceeded 30 redirects.,7,"[('0.0', 4), ('0', 3)]","[('104.21.16.1', 3), ('104.21.80.1', 3), ('104.21.64.1', 3)]",514
(Status Code: 503),5,"[('0.0', 4), ('0', 1)]","[('57.128.98.3', 1), ('104.21.80.1', 1), ('104.21.32.1', 1)]",884
internal error (_ssl.c:1129)'))),5,"[('0.0', 4), ('0', 1)]","[('93.127.209.36', 1), ('109.176.196.163', 1), ('84.32.84.32', 1)]",910
(Status Code: 530),5,"[('0.0', 3), ('0', 2)]","[('172.67.160.66', 1), ('104.21.9.155', 1), ('188.114.97.7', 1)]",600
(Status Code: 405),5,"[('0', 3), ('0.0', 2)]","[('34.211.94.107', 1), ('34.211.171.136', 1), ('108.138.192.36', 1)]",108
(Status Code: 429),3,"[('0.0', 2), ('0', 1)]","[('192.104.183.109', 1), ('192.104.183.209', 1), ('109.206.167.145', 1)]",1768
(Status Code: 400),3,"[('0.0', 2), ('0', 1)]","[('104.21.32.1', 2), ('104.21.48.1', 2), ('104.21.64.1', 2)]",298
(Status Code: 451),3,"[('0.0', 2), ('0', 1)]","[('185.197.162.135', 1), ('107.154.133.67', 1), ('45.60.111.67', 1)]",406
(Status Code: 202),3,"[('0', 2), ('0.0', 1)]","[('104.21.32.1', 1), ('104.21.64.1', 1), ('104.21.80.1', 1)]",140
(Status Code: 204),3,"[('0.0', 2), ('0', 1)]","[('136.243.42.50', 2), ('193.108.117.211', 2), ('65.109.24.247', 2)]",412
unrecognized name (_ssl.c:1129)'))),2,"[('0.0', 2)]","[('77980.bodis.com.', 1), ('199.59.243.228', 1), ('89.31.143.90', 1)]",2260
incorrect header check')),1,"[('0', 1)]","[('194.1.147.92', 1), ('194.1.147.90', 1)]",600
(Status Code: 508),1,"[('0', 1)]","[('188.114.96.7', 1), ('188.114.97.7', 1)]",300
(Status Code: 423),1,"[('0.0', 1)]","[('185.235.178.5', 1), ('185.224.82.237', 1)]",3600
(Status Code: 401),1,"[('0.0', 1)]","[('104.21.41.157', 1), ('172.67.148.53', 1)]",300
(Status Code: 504),1,"[('0.0', 1)]","[('cbpay888.com.w.cdngslb.com.', 1), ('47.246.46.226', 1), ('47.246.46.229', 1)]",60
(Status Code: 999),1,"[('0.0', 1)]","[('104.21.90.205', 1), ('172.67.161.42', 1)]",300
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.96.1', 1), ('104.21.112.1', 1), ('104.21.64.1', 1)]",300
(Status Code: 418),1,"[('0.0', 1)]","[('188.114.97.7', 1), ('188.114.96.7', 1)]",300
or too long),1,[],[],0
(Status Code: 302),1,"[('0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",60
(Status Code: 402),1,"[('0', 1)]","[('78.129.150.19', 1)]",300
