https_status,Count,DNS Status,Top 3 IPs,Average TTL
SSL Errors,5084,"[('0.0', 2691), ('0', 2252)]","[('104.21.32.1', 534), ('104.21.64.1', 534), ('104.21.112.1', 534)]",1969
Status Code: 200,2258,"[('0.0', 1241), ('0', 1000)]","[('188.114.96.7', 216), ('188.114.97.7', 216), ('104.21.80.1', 208)]",1537
Connection Errors,1378,"[('0.0', 959), ('3.0', 111), ('0', 106), ('3', 85), ('2.0', 49), ('2', 33)]","[('188.114.96.7', 76), ('188.114.97.7', 76), ('104.21.112.1', 67)]",1858
Status Code: 403,526,"[('0.0', 272), ('0', 245)]","[('104.21.48.1', 68), ('104.21.96.1', 68), ('104.21.16.1', 68)]",761
Timeout Errors,301,"[('0.0', 224), ('0', 60)]","[('104.21.64.1', 8), ('104.21.96.1', 8), ('104.21.48.1', 8)]",2699
Dismatch,92,"[('0.0', 49), ('0', 42)]","[('8.8.8.8', 2), ('142.250.180.174', 2), ('548260.parkingcrew.net.', 2)]",3563
Self signed certificate,43,"[('0.0', 29), ('0', 13)]","[('5.45.73.205', 2), ('147.92.146.242', 2), ('107.178.223.183', 2)]",3713
connection without response,41,"[('0', 21), ('0.0', 20)]","[('72.52.178.23', 16), ('69.16.230.165', 9), ('75.2.70.75', 2)]",8009
Status Code: 404,41,"[('0.0', 24), ('0', 15)]","[('fallback.dwhitegroup3.com.', 2), ('104.18.42.159', 2), ('172.64.145.97', 2)]",987
Certificate expired,30,"[('0.0', 18), ('0', 11)]","[('39.110.250.2', 5), ('188.166.241.70', 3), ('103.242.224.4', 1)]",2937
Status Code: 502,26,"[('0.0', 13), ('0', 12)]","[('193.148.245.145', 1), ('193.148.244.177', 1), ('190.115.31.234', 1)]",1738
violation of protocol,19,"[('0.0', 12), ('0', 7)]","[('35.190.1.20', 7), ('216.239.36.21', 4), ('216.239.32.21', 4)]",1581
Status Code: 410,18,"[('0.0', 9), ('0', 9)]","[('75.2.37.224', 5), ('5.61.52.167', 1), ('103.224.182.208', 1)]",899
reset by peer,15,"[('0', 8), ('0.0', 6)]","[('213.186.33.5', 2), ('109.238.88.116', 1), ('133.18.10.166', 1)]",3731
Status Code: 500,13,"[('0', 7), ('0.0', 6)]","[('188.114.97.7', 4), ('188.114.96.7', 4), ('104.21.96.1', 3)]",418
Status Code: 203,13,"[('0.0', 7), ('0', 6)]","[('45.141.10.7', 1), ('104.26.7.8', 1), ('172.67.70.159', 1)]",6340
handshake failure,13,"[('0', 8), ('0.0', 5)]","[('45.81.58.38', 2), ('13.226.175.128', 1), ('13.226.175.54', 1)]",753
Status Code: 406,12,"[('0.0', 8), ('0', 4)]","[('151.101.1.91', 2), ('151.101.193.91', 2), ('151.101.65.91', 2)]",8464
Status Code: 526,10,"[('0.0', 5), ('0', 4)]","[('188.114.96.7', 3), ('188.114.97.7', 3), ('104.21.80.1', 2)]",261
internal error (_ssl.c:1129)'))),8,"[('0.0', 6), ('0', 2)]","[('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1), ('blogct420x.fc2.me.', 1)]",2320
(Status Code: 520),8,"[('0', 5), ('0.0', 3)]","[('188.114.96.7', 4), ('188.114.97.7', 4), ('104.21.47.64', 1)]",300
(Status Code: 503),6,"[('0.0', 4), ('0', 2)]","[('57.128.98.3', 1), ('104.21.48.1', 1), ('104.21.96.1', 1)]",3220
(Status Code: 436),5,"[('0', 4), ('0.0', 1)]","[('91.195.240.12', 4), ('91.195.240.123', 1)]",6476
(Status Code: 521),5,"[('0', 3), ('0.0', 2)]","[('188.114.97.7', 2), ('188.114.96.7', 2), ('6ec8c6d2.89ip.cn.cname.hcnamecdns.com.', 1)]",194
Exceeded 30 redirects.,4,"[('0.0', 3), ('0', 1)]","[('104.21.64.1', 3), ('104.21.96.1', 3), ('104.21.48.1', 3)]",639
(Status Code: 523),4,"[('0.0', 2), ('0', 2)]","[('188.114.97.7', 1), ('188.114.96.7', 1), ('172.67.74.24', 1)]",285
(Status Code: 405),4,"[('0.0', 2), ('0', 2)]","[('108.156.2.92', 1), ('108.156.2.80', 1), ('108.156.2.11', 1)]",120
(Status Code: 202),3,"[('0', 2), ('0.0', 1)]","[('3.160.212.16', 1), ('3.160.212.51', 1), ('3.160.212.78', 1)]",140
Read timed out.,3,"[('0', 1)]","[('209.182.254.101', 1)]",60
(Status Code: 204),3,"[('0', 2), ('0.0', 1)]","[('193.108.117.211', 2), ('104.21.13.158', 1), ('172.67.156.191', 1)]",500
(Status Code: 451),2,"[('0.0', 1), ('0', 1)]","[('185.197.162.135', 1), ('45.60.111.67', 1), ('107.154.133.67', 1)]",1708
unrecognized name (_ssl.c:1129)'))),2,"[('0.0', 1), ('0', 1)]","[('89.31.143.90', 1), ('210.248.135.31', 1)]",750
(Status Code: 401),1,"[('0.0', 1)]","[('185.104.211.35', 1)]",239
than 100 headers')),1,"[('0.0', 1)]","[('104.18.42.50', 1), ('172.64.145.206', 1)]",300
(Status Code: 530),1,"[('0', 1)]","[('104.21.9.155', 1), ('172.67.160.66', 1)]",300
unexpected message (_ssl.c:1129)'))),1,"[('0', 1)]","[('77980.bodis.com.', 1), ('199.59.243.228', 1)]",6953
incorrect header check')),1,"[('0', 1)]","[('194.1.147.92', 1), ('194.1.147.18', 1)]",3004
(Status Code: 508),1,"[('0', 1)]","[('188.114.97.7', 1), ('188.114.96.7', 1)]",300
(Status Code: 522),1,"[('0', 1)]","[('172.67.220.232', 1), ('104.21.94.76', 1)]",39
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.64.1', 1), ('104.21.112.1', 1), ('104.21.32.1', 1)]",300
or too long),1,[],[],0
(Status Code: 302),1,"[('0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",60
