website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,"Error: HTTPSConnectionPool(host='gg16.bet', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['188.164.158.108'],42.0,377.0,0.03748130798339844,False,
latinboyz.com,"Error: HTTPSConnectionPool(host='latinboyz.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['135.148.2.200'],47.0,377.0,0.008186101913452148,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,4501.0,0.013732194900512695,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['184.94.149.216'],48.0,4501.0,0.006752967834472656,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb654c9ca0>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,4483.0,0.06696200370788574,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['34.149.120.3', '34.160.17.71', '34.160.81.203', '34.120.190.48']",94.0,20.0,0.06899785995483398,False,
kikoushi.jp,"Error: HTTPSConnectionPool(host='kikoushi.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['124.35.41.253'],45.0,1484.0,0.07065415382385254,False,
1x2stats.com,"Error: HTTPSConnectionPool(host='1x2stats.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['34.250.235.194'],46.0,4483.0,0.06417298316955566,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['172.67.159.231', '104.21.66.123']",59.0,358.0,0.06584596633911133,False,
indianporn.cam,"Error: HTTPSConnectionPool(host='indianporn.cam', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['62.122.168.59'],48.0,4483.0,0.05980372428894043,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,4483.0,0.06438779830932617,False,
rajacuansuper9.com,"Error: HTTPSConnectionPool(host='rajacuansuper9.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.21.72.182', '172.67.153.216']",68.0,358.0,0.06423187255859375,False,
angryorchard.com,"Error: HTTPSConnectionPool(host='angryorchard.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['13.107.246.40'],50.0,2232.0,0.06645512580871582,False,
goshango.com,Accessible (Status Code: 200),0.0,"['104.26.13.54', '104.26.12.54', '172.67.68.157']",78.0,357.0,0.07607007026672363,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['172.67.156.185', '104.21.8.29']",61.0,357.0,0.08837699890136719,False,
