website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 404),0.0,['188.164.158.108'],42.0,299.0,0.221588134765625,False,
latinboyz.com,Accessible (Status Code: 200),0.0,['135.148.2.200'],47.0,298.0,0.135209321975708,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,14397.0,0.1405801773071289,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.customercare.co', 'customercare.co'"")))",0.0,['184.94.149.216'],48.0,86397.0,0.14545178413391113,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f80fedfad00>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,3585.0,0.09151887893676758,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['35.227.194.51', '34.149.120.3', '34.160.81.203', '34.149.36.179']",94.0,14.0,0.11762881278991699,False,
kikoushi.jp,Accessible (Status Code: 200),0.0,['124.35.41.253'],45.0,1185.0,0.12981891632080078,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,3584.0,0.10321903228759766,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['172.67.159.231', '104.21.66.123']",59.0,284.0,0.1121971607208252,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,3584.0,0.12703394889831543,False,
flotter-dampfer.de,"Error: HTTPSConnectionPool(host='www.flotter-dampfer.de', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f80feef6940>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['89.107.190.20'],52.0,3584.0,0.11598706245422363,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['172.67.153.216', '104.21.72.182']",68.0,283.0,0.11353087425231934,False,
angryorchard.com,Accessible (Status Code: 200),0.0,['13.107.246.40'],50.0,1783.0,0.11914396286010742,False,
goshango.com,Accessible (Status Code: 200),0.0,"['104.26.13.54', '172.67.68.157', '104.26.12.54']",78.0,283.0,0.13585686683654785,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['172.67.156.185', '104.21.8.29']",61.0,283.0,0.12281441688537598,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['188.114.96.0', '188.114.97.0']",65.0,283.0,0.11126589775085449,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['172.67.204.84', '104.21.69.44']",62.0,283.0,0.10964107513427734,False,
vrcbet.com,"Error: HTTPSConnectionPool(host='vrcbet.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f80fedfa310>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739788717 1800 900 604800 900'],101.0,897.0,0.13179302215576172,False,
virtual-horizon.com,"Error: HTTPSConnectionPool(host='virtual-horizon.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f80fede54c0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2365069932 10000 2400 604800 1800'],100.0,1783.0,0.09767031669616699,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,1781.0,0.09592604637145996,False,
