https_status,Count,DNS Status,Top 3 IPs,Average TTL
SSL Errors,4123,"[('0.0', 2860), ('0', 1263)]","[('85.38.29.199', 4080), ('104.21.112.1', 6), ('104.21.64.1', 6)]",18
Status Code: 200,3843,"[('0.0', 2705), ('0', 1136)]","[('104.21.64.1', 415), ('104.21.112.1', 415), ('104.21.32.1', 415)]",331
Status Code: 403,704,"[('0.0', 506), ('0', 198)]","[('104.21.16.1', 94), ('104.21.80.1', 94), ('104.21.64.1', 94)]",301
Connection Errors,467,"[('0.0', 153), ('3.0', 103), ('0', 95), ('2.0', 45), ('3', 40), ('2', 20)]","[('127.0.0.1', 10), ('195.2.84.111', 7), ('a0.nic.bet. hostmaster.donuts.email. 1739286430 7200 900 1209600 3600', 7)]",353
Timeout Errors,262,"[('0.0', 196), ('0', 65)]","[('217.175.53.72', 59), ('85.38.29.199', 21), ('104.21.16.1', 15)]",250
Dismatch,86,"[('0.0', 62), ('0', 24)]","[('103.224.182.210', 3), ('152.53.67.90', 3), ('8.8.8.8', 2)]",408
self signed certificate,79,"[('0.0', 52), ('0', 27)]","[('34.110.214.49', 36), ('34.149.141.190', 12), ('185.187.159.2', 4)]",143
Status Code: 404,72,"[('0.0', 53), ('0', 19)]","[('104.21.64.1', 10), ('104.21.48.1', 10), ('104.21.112.1', 10)]",296
connection without response,68,"[('0.0', 45), ('0', 23)]","[('72.52.178.23', 28), ('69.16.230.165', 20), ('72.52.179.174', 3)]",488
Certificate expired,48,"[('0.0', 33), ('0', 15)]","[('188.166.241.70', 3), ('37.1.197.107', 2), ('37.1.201.27', 2)]",414
Status Code: 410,24,"[('0.0', 18), ('0', 6)]","[('75.2.37.224', 6), ('15.197.130.221', 3), ('185.53.177.54', 2)]",502
Status Code: 406,19,"[('0.0', 11), ('0', 8)]","[('185.98.55.81', 5), ('88.208.20.10', 5), ('151.101.193.91', 2)]",389
Status Code: 500,19,"[('0.0', 17), ('0', 2)]","[('104.21.112.1', 4), ('104.21.80.1', 4), ('104.21.96.1', 4)]",281
Status Code: 502,15,"[('0.0', 12), ('0', 3)]","[('190.115.31.234', 1), ('185.171.230.9', 1), ('185.171.231.15', 1)]",469
Status Code: 520,14,"[('0.0', 7), ('0', 7)]","[('188.114.96.7', 3), ('188.114.97.7', 3), ('104.21.80.1', 2)]",280
unable to get local issuer certificate,13,"[('0.0', 10), ('0', 3)]","[('80.82.76.121', 1), ('45.79.167.213', 1), ('185.231.176.135', 1)]",444
Status Code: 521,13,"[('0.0', 9), ('0', 4)]","[('104.21.80.1', 4), ('104.21.16.1', 4), ('104.21.64.1', 4)]",273
Status Code: 503,13,"[('0.0', 7), ('0', 6)]","[('104.21.96.1', 3), ('104.21.112.1', 3), ('104.21.32.1', 3)]",355
Status Code: 203,13,"[('0.0', 10), ('0', 3)]","[('104.21.16.1', 1), ('104.21.64.1', 1), ('104.21.112.1', 1)]",466
handshake failure,13,"[('0.0', 9), ('0', 4)]","[('45.81.58.38', 2), ('13.226.175.54', 1), ('13.226.175.67', 1)]",326
(Status Code: 526),10,"[('0.0', 8), ('0', 2)]","[('188.114.97.7', 3), ('188.114.96.7', 3), ('104.21.96.1', 2)]",255
(Status Code: 436),9,"[('0.0', 6), ('0', 3)]","[('91.195.240.12', 7), ('91.195.240.123', 1), ('188.114.96.7', 1)]",528
internal error (_ssl.c:1129)'))),8,"[('0.0', 5), ('0', 3)]","[('84.32.84.32', 2), ('93.127.209.36', 1), ('84.32.84.33', 1)]",361
Exceeded 30 redirects.,8,"[('0.0', 5), ('0', 3)]","[('104.21.48.1', 3), ('104.21.80.1', 3), ('104.21.16.1', 3)]",307
(Status Code: 429),6,"[('0.0', 5), ('0', 1)]","[('109.206.162.41', 2), ('109.206.176.116', 2), ('ooxxx.com.', 1)]",372
violation of protocol,6,"[('0.0', 6)]","[('216.239.32.21', 4), ('216.239.34.21', 4), ('216.239.36.21', 4)]",505
reset by peer')),5,"[('0', 4), ('0.0', 1)]","[('45.84.0.207', 1), ('138.124.181.7', 1), ('213.186.33.5', 1)]",445
(Status Code: 523),5,"[('0.0', 3), ('0', 2)]","[('104.21.50.23', 1), ('172.67.199.182', 1), ('172.67.144.166', 1)]",255
(Status Code: 202),4,"[('0.0', 2), ('0', 2)]","[('3.160.212.78', 2), ('3.160.212.47', 2), ('3.160.212.51', 2)]",128
(Status Code: 400),4,"[('0', 2), ('0.0', 2)]","[('104.21.64.1', 2), ('104.21.80.1', 2), ('104.21.32.1', 2)]",231
unknown error (_ssl.c:1129)'))),3,"[('0.0', 2), ('0', 1)]","[('85.38.29.199', 3)]",15
(Status Code: 451),3,"[('0.0', 2), ('0', 1)]","[('185.197.162.135', 1), ('45.60.111.67', 1), ('107.154.133.67', 1)]",316
(Status Code: 405),3,"[('0.0', 2), ('0', 1)]","[('108.156.2.80', 1), ('108.156.2.92', 1), ('108.156.2.11', 1)]",149
(Status Code: 530),3,"[('0.0', 3)]","[('172.67.160.66', 1), ('104.21.9.155', 1), ('185.88.181.56', 1)]",400
unrecognized name (_ssl.c:1129)'))),2,"[('0', 2)]","[('77980.bodis.com.', 1), ('199.59.243.228', 1), ('89.31.143.90', 1)]",434
version number (_ssl.c:1129)'))),2,"[('0.0', 2)]","[('133.18.10.166', 1), ('204.16.169.54', 1)]",434
(Status Code: 204),2,"[('0.0', 2)]","[('65.109.24.247', 2), ('136.243.42.50', 2), ('144.76.106.61', 2)]",508
incorrect header check')),1,"[('0', 1)]","[('194.1.147.90', 1), ('194.1.147.92', 1)]",564
(Status Code: 401),1,"[('0.0', 1)]","[('172.67.148.53', 1), ('104.21.41.157', 1)]",377
(Status Code: 504),1,"[('0.0', 1)]","[('cbpay888.com.w.cdngslb.com.', 1), ('47.246.46.229', 1), ('47.246.46.230', 1)]",77
(Status Code: 447),1,"[('0.0', 1)]","[('37.187.135.97', 1)]",456
(Status Code: 999),1,"[('0.0', 1)]","[('172.67.161.42', 1), ('104.21.90.205', 1)]",269
(Status Code: 522),1,"[('0', 1)]","[('188.114.96.7', 1), ('188.114.97.7', 1)]",377
(Status Code: 302),1,"[('0.0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",77
(Status Code: 402),1,"[('0.0', 1)]","[('78.129.150.19', 1)]",224
(Status Code: 468),1,"[('0.0', 1)]","[('netflixgc.com.cdn.fun.', 1), ('15.235.204.229', 1)]",77
