https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 200,6898,"[('0.0', 6887)]","[('104.21.48.1', 716), ('104.21.16.1', 716), ('104.21.96.1', 716)]",7060
Status Code: 403,1283,"[('0.0', 1278)]","[('104.21.32.1', 134), ('104.21.16.1', 134), ('104.21.96.1', 134)]",4272
Connection Errors,534,"[('0.0', 238), ('3.0', 199), ('2.0', 76)]","[('127.0.0.1', 9), ('a0.nic.bet. hostmaster.donuts.email. 1739283263 7200 900 1209600 3600', 8), ('a0.nic.bet. hostmaster.donuts.email. 1739282631 7200 900 1209600 3600', 7)]",3189
Timeout Errors,231,"[('0.0', 231)]","[('104.21.112.1', 19), ('104.21.96.1', 19), ('104.21.16.1', 19)]",7377
violation of protocol,143,"[('0.0', 143)]","[('195.2.84.111', 16), ('35.190.1.20', 9), ('194.58.112.174', 5)]",11689
Dismatch,141,"[('0.0', 141)]","[('103.224.182.210', 4), ('52.223.39.56', 3), ('152.53.67.90', 3)]",13243
connection without response,116,"[('0.0', 116)]","[('72.52.178.23', 39), ('69.16.230.165', 24), ('72.52.179.174', 4)]",9832
Status Code: 404,102,"[('0.0', 101)]","[('104.21.16.1', 10), ('104.21.112.1', 10), ('104.21.32.1', 10)]",6880
Certificate expired,75,"[('0.0', 75)]","[('35.221.175.82', 6), ('39.110.250.2', 5), ('188.166.241.70', 3)]",10894
Self signed certificate,50,"[('0.0', 50)]","[('69.16.230.165', 2), ('5.45.73.205', 2), ('147.92.146.242', 2)]",11127
Status Code: 406,44,"[('0.0', 44)]","[('88.208.20.10', 16), ('185.98.55.81', 16), ('scashwl.com.', 5)]",7017
Status Code: 520,37,"[('0.0', 37)]","[('104.21.32.1', 10), ('104.21.64.1', 10), ('104.21.48.1', 10)]",3508
Status Code: 410,36,"[('0.0', 36)]","[('75.2.37.224', 7), ('15.197.130.221', 3), ('75.2.18.233', 3)]",3512
Status Code: 502,32,"[('0.0', 32)]","[('193.148.245.145', 1), ('193.148.244.177', 1), ('190.115.31.234', 1)]",3513
SSL Errors,31,"[('0.0', 31)]","[('153.120.10.24', 2), ('153.120.10.22', 2), ('80.82.76.121', 1)]",9084
Status Code: 500,27,"[('0.0', 27)]","[('104.21.96.1', 5), ('104.21.80.1', 5), ('104.21.32.1', 5)]",3688
Status Code: 203,23,"[('0.0', 23)]","[('45.155.53.149', 2), ('78.40.116.13', 2), ('179.43.172.163', 2)]",25419
Status Code: 429,22,"[('0.0', 22)]","[('109.206.162.36', 3), ('109.206.167.145', 3), ('109.206.162.41', 2)]",8780
Status Code: 503,19,"[('0.0', 19)]","[('85.184.96.0', 5), ('104.21.32.1', 5), ('104.21.64.1', 5)]",5964
Status Code: 521,18,"[('0.0', 18)]","[('104.21.96.1', 5), ('104.21.112.1', 5), ('104.21.64.1', 5)]",3490
Exceeded 30 redirects.,18,"[('0.0', 18)]","[('104.21.64.1', 6), ('104.21.16.1', 6), ('104.21.32.1', 6)]",12672
handshake failure,16,"[('0.0', 16)]","[('45.81.58.38', 2), ('13.226.175.3', 1), ('13.226.175.128', 1)]",3496
(Status Code: 436),15,"[('0.0', 15)]","[('91.195.240.12', 8), ('64.190.63.222', 3), ('91.195.240.94', 2)]",5428
(Status Code: 526),13,"[('0.0', 13)]","[('188.114.97.7', 5), ('188.114.96.7', 5), ('104.21.112.1', 2)]",3501
(Status Code: 523),10,"[('0.0', 10)]","[('188.114.97.7', 2), ('188.114.96.7', 2), ('172.67.74.24', 1)]",3493
internal error (_ssl.c:1129)'))),9,"[('0.0', 9)]","[('84.32.84.32', 2), ('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1)]",3488
(Status Code: 405),9,"[('0.0', 9)]","[('217.19.237.54', 1), ('108.156.2.41', 1), ('108.156.2.92', 1)]",3525
(Status Code: 530),6,"[('0.0', 6)]","[('172.67.160.66', 1), ('104.21.9.155', 1), ('188.114.96.7', 1)]",3516
(Status Code: 451),5,"[('0.0', 5)]","[('107.154.133.67', 3), ('45.60.111.67', 3), ('185.197.162.135', 1)]",3511
version number (_ssl.c:1129)'))),5,"[('0.0', 5)]","[('133.18.10.166', 1), ('99.192.136.234', 1), ('77.83.173.245', 1)]",3528
(Status Code: 202),4,"[('0.0', 4)]","[('3.160.212.47', 2), ('3.160.212.78', 2), ('3.160.212.16', 2)]",3477
(Status Code: 400),4,"[('0.0', 4)]","[('104.21.32.1', 2), ('104.21.112.1', 2), ('104.21.64.1', 2)]",3512
(Status Code: 401),3,"[('0.0', 3)]","[('185.104.211.35', 1), ('104.21.41.157', 1), ('172.67.148.53', 1)]",3462
unrecognized name (_ssl.c:1129)'))),3,"[('0.0', 3)]","[('77980.bodis.com.', 1), ('199.59.243.228', 1), ('89.31.143.90', 1)]",4352
(Status Code: 204),3,"[('0.0', 3)]","[('136.243.42.50', 2), ('23.158.56.123', 2), ('65.109.24.247', 2)]",3517
(Status Code: 402),2,"[('0.0', 2)]","[('89.208.113.5', 1), ('78.129.150.19', 1)]",3502
(Status Code: 418),2,"[('0.0', 2)]","[('64.181.171.13', 1), ('78.111.102.100', 1), ('188.114.97.7', 1)]",3516
(Status Code: 522),2,"[('0.0', 2)]","[('172.67.220.232', 1), ('104.21.94.76', 1), ('188.114.97.7', 1)]",3472
(Status Code: 423),2,"[('0.0', 2)]","[('185.235.178.5', 2), ('185.224.82.237', 1)]",3588
(Status Code: 450),1,"[('0.0', 1)]","[('116.203.249.31', 1)]",3518
(Status Code: 504),1,"[('0.0', 1)]","[('cbpay888.com.w.cdngslb.com.', 1), ('47.246.46.231', 1), ('47.246.46.226', 1)]",3440
(Status Code: 999),1,"[('0.0', 1)]","[('172.67.161.42', 1), ('104.21.90.205', 1)]",3398
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.64.1', 1), ('104.21.48.1', 1), ('104.21.96.1', 1)]",3562
or too long),1,[],[],0
(Status Code: 302),1,"[('0.0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",3534
(Status Code: 468),1,"[('0.0', 1)]","[('netflixgc.com.cdn.fun.', 1), ('15.235.204.229', 1)]",3488
