website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 403),0.0,['188.164.158.108'],42.0,3599.0,0.143510103225708,False,
latinboyz.com,Accessible (Status Code: 200),0.0,['135.148.2.200'],47.0,3596.0,0.6177308559417725,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,14394.0,0.28621387481689453,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.customercare.co', 'customercare.co'"")))",0.0,['184.94.149.216'],48.0,86394.0,0.15900802612304688,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Read timed out. (read timeout=15)",0.0,['54.172.159.148'],46.0,3585.0,0.12755393981933594,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['34.160.81.203', '34.160.17.71', '34.120.190.48', '35.227.194.51']",94.0,3585.0,0.09709882736206055,False,
kikoushi.jp,Accessible (Status Code: 200),0.0,['124.35.41.253'],45.0,3584.0,0.11137199401855469,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,3584.0,0.10212182998657227,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['172.67.159.231', '104.21.66.123']",59.0,3584.0,0.09412813186645508,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,3584.0,0.09162592887878418,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,3584.0,0.09766006469726562,False,
rajacuansuper9.com,Accessible (Status Code: 200),0.0,"['104.21.72.182', '172.67.153.216']",68.0,3584.0,0.08031201362609863,False,
angryorchard.com,Accessible (Status Code: 200),0.0,['13.107.246.40'],50.0,3584.0,0.11967110633850098,False,
goshango.com,Accessible (Status Code: 200),0.0,"['104.26.13.54', '104.26.12.54', '172.67.68.157']",78.0,3584.0,0.10629415512084961,False,
porno666.la,Blocked - Client Error (Status Code: 404),0.0,"['172.67.156.185', '104.21.8.29']",61.0,3584.0,0.11795592308044434,False,
hentaistream.me,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",65.0,3584.0,0.13712501525878906,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['104.21.69.44', '172.67.204.84']",62.0,3583.0,0.14144206047058105,False,
vrcbet.com,"Error: HTTPSConnectionPool(host='vrcbet.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fed0a9388e0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739282182 1800 900 604800 900'],101.0,3584.0,0.0913851261138916,False,
virtual-horizon.com,"Error: HTTPSConnectionPool(host='virtual-horizon.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fed0a941850>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2364430431 10000 2400 604800 1800'],100.0,3583.0,0.11011385917663574,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,3583.0,0.11338186264038086,False,
passionmanga.online,Accessible (Status Code: 200),0.0,"['104.21.48.1', '104.21.16.1', '104.21.96.1', '104.21.112.1', '104.21.80.1', '104.21.32.1', '104.21.64.1']",149.0,3583.0,0.09918999671936035,False,
craftshack.com,Accessible (Status Code: 200),0.0,['23.227.38.32'],48.0,3583.0,0.09982419013977051,False,
ore-aroma.jp,Accessible (Status Code: 200),0.0,['133.18.78.138'],46.0,3584.0,0.12630081176757812,False,
lottomat.com,Accessible (Status Code: 200),0.0,"['104.21.46.23', '172.67.222.159']",62.0,3583.0,0.08421015739440918,False,
smsm.ph,Accessible (Status Code: 200),0.0,"['13.248.251.78', '99.83.162.94']",57.0,3583.0,0.10561418533325195,False,
read-lookism.com,Accessible (Status Code: 200),0.0,"['172.67.159.190', '104.21.9.105']",66.0,3582.0,0.1162109375,False,
bangbrosteenporn.com,Accessible (Status Code: 200),0.0,"['172.67.71.32', '104.26.0.208', '104.26.1.208']",86.0,3582.0,0.09540295600891113,False,
kuro-ai.com,Accessible (Status Code: 200),0.0,"['172.67.70.159', '104.26.7.8', '104.26.6.8']",77.0,3582.0,0.11412715911865234,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['172.67.179.166', '104.21.31.197']",66.0,3582.0,0.13094282150268555,False,
lauxanh.one,Blocked - Client Error (Status Code: 404),0.0,"['104.21.95.38', '172.67.142.195']",61.0,3582.0,0.09102797508239746,False,
zooporn.video,Accessible (Status Code: 200),0.0,"['104.21.112.1', '104.21.32.1', '104.21.80.1', '104.21.48.1', '104.21.64.1', '104.21.96.1', '104.21.16.1']",143.0,3582.0,0.10580611228942871,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,86382.0,0.10166716575622559,False,
casinohex.co.za,Accessible (Status Code: 200),0.0,"['104.26.5.169', '172.67.74.224', '104.26.4.169']",81.0,3582.0,0.09573602676391602,False,
essay-reviews.com,Accessible (Status Code: 200),0.0,"['15.160.106.203', '15.161.34.42', '35.152.117.67']",83.0,3582.0,0.10067296028137207,False,
brombet.com,Accessible (Status Code: 200),0.0,['83.164.147.113'],45.0,3581.0,0.10045313835144043,False,
sssexxx.net,Accessible (Status Code: 200),0.0,['209.126.108.36'],45.0,3581.0,0.11190605163574219,False,
fpack.jp,Accessible (Status Code: 200),0.0,['210.239.38.188'],42.0,3581.0,0.10526680946350098,False,
nashstore.ru,Accessible (Status Code: 200),0.0,['95.181.181.62'],46.0,3581.0,0.09836006164550781,False,
oldiepornos.com,Accessible (Status Code: 200),0.0,"['188.114.96.7', '188.114.97.7']",65.0,3581.0,0.10495305061340332,False,
uzxit.net,Accessible (Status Code: 200),0.0,['195.3.221.161'],43.0,3581.0,0.11955976486206055,False,
1lib.ph,Accessible (Status Code: 200),0.0,['176.123.7.105'],41.0,3581.0,0.08192729949951172,False,
dszbok.com,Accessible (Status Code: 200),0.0,['47.243.172.248'],44.0,3581.0,0.14790821075439453,False,
9nunghd.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",61.0,3581.0,0.09918999671936035,False,
scaryforkids.com,Accessible (Status Code: 200),0.0,"['172.67.134.22', '104.21.5.251']",66.0,3580.0,0.09098291397094727,False,
meeticaffinity.it,Accessible (Status Code: 200),0.0,['62.23.26.20'],51.0,3580.0,0.101776123046875,False,
banana.porn,Blocked - Client Error (Status Code: 403),0.0,"['104.21.32.1', '104.21.16.1', '104.21.96.1', '104.21.80.1', '104.21.48.1', '104.21.64.1', '104.21.112.1']",141.0,3580.0,0.1118001937866211,False,
