https_status,Count,DNS Status,Top 3 IPs,Average TTL
SSL Errors,5522,"[('0.0', 5522)]","[('104.21.112.1', 587), ('104.21.64.1', 587), ('104.21.96.1', 587)]",1202
Status Code: 200,2499,"[('0.0', 2499)]","[('104.21.96.1', 228), ('104.21.16.1', 228), ('104.21.80.1', 228)]",1121
Connection Errors,748,"[('0.0', 459), ('3.0', 194), ('2.0', 71)]","[('195.2.84.111', 16), ('a0.nic.bet. hostmaster.donuts.email. 1739281369 7200 900 1209600 3600', 10), ('127.0.0.1', 9)]",1398
Status Code: 403,575,"[('0.0', 575)]","[('104.21.16.1', 77), ('104.21.32.1', 77), ('104.21.80.1', 77)]",574
Timeout Errors,170,"[('0.0', 170)]","[('174.137.145.52', 3), ('165.160.15.20', 3), ('111.90.148.38', 3)]",1762
Dismatch,95,"[('0.0', 95)]","[('152.53.67.90', 3), ('8.8.8.8', 2), ('216.58.205.46', 2)]",1898
Self signed certificate,50,"[('0.0', 50)]","[('69.16.230.165', 2), ('5.45.73.205', 2), ('147.92.146.242', 2)]",2233
Status Code: 404,45,"[('0.0', 45)]","[('104.21.96.1', 3), ('104.21.16.1', 3), ('104.21.48.1', 3)]",668
connection without response,38,"[('0.0', 38)]","[('72.52.178.23', 17), ('69.16.230.165', 9), ('72.52.179.174', 2)]",3656
Certificate expired,34,"[('0.0', 34)]","[('39.110.250.2', 5), ('188.166.241.70', 3), ('103.242.224.4', 1)]",2168
Status Code: 502,27,"[('0.0', 27)]","[('193.148.245.145', 1), ('193.148.244.177', 1), ('190.115.31.234', 1)]",2115
violation of protocol,20,"[('0.0', 20)]","[('35.190.1.20', 9), ('216.239.32.21', 4), ('216.239.34.21', 4)]",2403
Status Code: 410,19,"[('0.0', 19)]","[('75.2.37.224', 6), ('15.197.130.221', 2), ('5.61.52.167', 1)]",1144
reset by peer,16,"[('0.0', 16)]","[('213.186.33.5', 2), ('186.202.153.148', 1), ('52.216.154.235', 1)]",1640
handshake failure,15,"[('0.0', 15)]","[('45.81.58.38', 2), ('13.226.244.53', 1), ('13.226.244.67', 1)]",791
Status Code: 406,13,"[('0.0', 13)]","[('151.101.129.91', 2), ('151.101.1.91', 2), ('151.101.65.91', 2)]",2850
(Status Code: 203),13,"[('0.0', 13)]","[('45.141.10.7', 1), ('83.147.206.185', 1), ('45.141.10.86', 1)]",1944
(Status Code: 500),12,"[('0.0', 12)]","[('104.21.112.1', 3), ('104.21.80.1', 3), ('104.21.16.1', 3)]",680
internal error (_ssl.c:1129)'))),10,"[('0.0', 10)]","[('84.32.84.32', 2), ('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1)]",1410
(Status Code: 436),10,"[('0.0', 10)]","[('91.195.240.12', 7), ('91.195.240.123', 1), ('64.190.63.222', 1)]",3545
(Status Code: 503),9,"[('0.0', 9)]","[('104.21.32.1', 2), ('104.21.64.1', 2), ('104.21.96.1', 2)]",1167
(Status Code: 526),8,"[('0.0', 8)]","[('104.21.32.1', 1), ('104.21.112.1', 1), ('104.21.96.1', 1)]",262
Status Code: 520,8,"[('0.0', 8)]","[('172.67.145.61', 1), ('104.21.47.64', 1), ('172.67.181.193', 1)]",265
(Status Code: 521),8,"[('0.0', 8)]","[('104.21.112.1', 2), ('104.21.16.1', 2), ('104.21.64.1', 2)]",212
Exceeded 30 redirects.,5,"[('0.0', 5)]","[('104.21.48.1', 3), ('104.21.32.1', 3), ('104.21.16.1', 3)]",669
(Status Code: 202),4,"[('0.0', 4)]","[('3.160.212.51', 1), ('3.160.212.47', 1), ('3.160.212.78', 1)]",101
(Status Code: 405),4,"[('0.0', 4)]","[('108.156.2.92', 1), ('108.156.2.80', 1), ('108.156.2.41', 1)]",124
unrecognized name (_ssl.c:1129)'))),3,"[('0.0', 3)]","[('77980.bodis.com.', 1), ('199.59.243.228', 1), ('89.31.143.90', 1)]",2044
(Status Code: 523),3,"[('0.0', 3)]","[('104.26.1.81', 1), ('172.67.74.24', 1), ('104.26.0.81', 1)]",304
(Status Code: 204),3,"[('0.0', 3)]","[('23.158.56.123', 2), ('193.108.118.16', 2), ('144.76.106.61', 2)]",554
(Status Code: 504),2,"[('0.0', 2)]","[('95.181.181.62', 1), ('cbpay888.com.w.cdngslb.com.', 1), ('47.246.46.227', 1)]",107
(Status Code: 401),2,"[('0.0', 2)]","[('185.104.211.35', 1), ('172.67.148.53', 1), ('104.21.41.157', 1)]",312
(Status Code: 451),2,"[('0.0', 2)]","[('185.197.162.135', 1), ('45.60.111.67', 1), ('107.154.133.67', 1)]",2272
incorrect header check')),2,"[('0.0', 2)]","[('194.1.147.92', 2), ('194.1.147.18', 1), ('194.1.147.90', 1)]",2538
(Status Code: 530),1,"[('0.0', 1)]","[('104.21.9.155', 1), ('172.67.160.66', 1)]",377
(Status Code: 400),1,"[('0.0', 1)]","[('188.40.167.81', 1)]",284
(Status Code: 999),1,"[('0.0', 1)]","[('172.67.161.42', 1), ('104.21.90.205', 1)]",278
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.80.1', 1), ('104.21.48.1', 1), ('104.21.32.1', 1)]",377
or too long),1,[],[],0
(Status Code: 302),1,"[('0.0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",15
