website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 403),0.0,['188.164.158.108'],42.0,376.0,0.09381413459777832,False,
latinboyz.com,"Error: HTTPSConnectionPool(host='latinboyz.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'latinboyz.com' doesn't match either of '*.safeweb-service.tim.it', '*.bb.safeweb-service.tim.it', '*.dr.safeweb-service.tim.it'"")))",0.0,['85.38.29.199'],47.0,14.0,0.37003612518310547,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,562.0,0.07590889930725098,False,
cutelatina.com,"Error: HTTPSConnectionPool(host='cutelatina.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'cutelatina.com' doesn't match either of '*.safeweb-service.tim.it', '*.bb.safeweb-service.tim.it', '*.dr.safeweb-service.tim.it'"")))",0.0,['85.38.29.199'],48.0,13.0,0.029628753662109375,False,
nyxmalta.com,"Error: HTTPSConnectionPool(host='nyxmalta.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb18a3db490>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,549.0,0.025732040405273438,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['35.190.31.54', '34.120.190.48', '34.160.81.203', '35.244.153.44']",94.0,24.0,0.019928932189941406,False,
kikoushi.jp,"Error: HTTPSConnectionPool(host='kikoushi.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'kikoushi.jp' doesn't match either of '*.safeweb-service.tim.it', '*.bb.safeweb-service.tim.it', '*.dr.safeweb-service.tim.it'"")))",0.0,['85.38.29.199'],45.0,15.0,0.3268468379974365,False,
1x2stats.com,"Error: HTTPSConnectionPool(host='1x2stats.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname '1x2stats.com' doesn't match either of '*.safeweb-service.tim.it', '*.bb.safeweb-service.tim.it', '*.dr.safeweb-service.tim.it'"")))",0.0,['85.38.29.199'],46.0,15.0,0.1937861442565918,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,362.0,0.013324975967407227,False,
indianporn.cam,Accessible (Status Code: 200),0.0,['62.122.168.59'],48.0,549.0,0.010875940322875977,False,
