website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
gg16.bet,Blocked - Client Error (Status Code: 403),0.0,['188.164.158.108'],42.0,377.0,0.030907869338989258,False,
latinboyz.com,Blocked - Client Error (Status Code: 403),0.0,['135.148.2.200'],47.0,377.0,0.02358078956604004,False,
tabanmusic.com,Accessible (Status Code: 200),0.0,['185.120.222.155'],48.0,4500.0,0.04248309135437012,False,
cutelatina.com,Blocked - Client Error (Status Code: 403),0.0,['184.94.149.216'],48.0,4500.0,0.023890018463134766,False,
nyxmalta.com,"Error: HTTPConnectionPool(host='nyxmalta.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fe25819d160>, 'Connection to nyxmalta.com timed out. (connect timeout=15)'))",0.0,['54.172.159.148'],46.0,4487.0,0.008819818496704102,False,
vapebazar.de,Accessible (Status Code: 200),0.0,"['35.190.31.54', '34.120.190.48', '35.244.153.44', '34.149.36.179']",94.0,24.0,0.008684158325195312,False,
kikoushi.jp,Blocked - Client Error (Status Code: 403),0.0,['124.35.41.253'],45.0,1487.0,0.008753061294555664,False,
1x2stats.com,Accessible (Status Code: 200),0.0,['34.250.235.194'],46.0,4487.0,0.009881019592285156,False,
qmanga.tv,Accessible (Status Code: 200),0.0,"['104.21.66.123', '172.67.159.231']",59.0,362.0,0.00579524040222168,False,
indianporn.cam,Blocked - Client Error (Status Code: 403),0.0,['62.122.168.59'],48.0,4487.0,0.010361909866333008,False,
flotter-dampfer.de,Accessible (Status Code: 200),0.0,['89.107.190.20'],52.0,4487.0,0.0075550079345703125,False,
rajacuansuper9.com,Blocked - Client Error (Status Code: 403),0.0,"['172.67.153.216', '104.21.72.182']",68.0,362.0,0.008708000183105469,False,
angryorchard.com,Blocked - Client Error (Status Code: 403),0.0,['13.107.246.40'],50.0,2237.0,0.006464958190917969,False,
goshango.com,Blocked - Client Error (Status Code: 403),0.0,"['172.67.68.157', '104.26.13.54', '104.26.12.54']",78.0,362.0,0.006285190582275391,False,
porno666.la,Blocked - Client Error (Status Code: 403),0.0,"['172.67.156.185', '104.21.8.29']",61.0,362.0,0.006180763244628906,False,
hentaistream.me,Blocked - Client Error (Status Code: 403),0.0,"['104.21.14.66', '172.67.158.36']",65.0,362.0,0.007256984710693359,False,
mangakyo.vip,Accessible (Status Code: 200),0.0,"['172.67.204.84', '104.21.69.44']",62.0,362.0,0.005540132522583008,False,
vrcbet.com,"Error: HTTPConnectionPool(host='vrcbet.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2581aa520>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.gtld-servers.net. nstld.verisign-grs.com. 1739284992 1800 900 604800 900'],101.0,900.0,0.006604909896850586,False,
virtual-horizon.com,"Error: HTTPConnectionPool(host='virtual-horizon.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe258107490>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['margaret.ns.cloudflare.com. dns.cloudflare.com. 2364430431 10000 2400 604800 1800'],100.0,1800.0,0.008777379989624023,False,
atrapame.net,Accessible (Status Code: 200),0.0,['78.46.141.155'],46.0,2235.0,0.008886098861694336,False,
passionmanga.online,Accessible (Status Code: 200),0.0,"['104.21.112.1', '104.21.96.1', '104.21.16.1', '104.21.32.1', '104.21.80.1', '104.21.48.1', '104.21.64.1']",149.0,362.0,0.009061813354492188,False,
craftshack.com,Blocked - Client Error (Status Code: 403),0.0,['23.227.38.32'],48.0,737.0,0.008439064025878906,False,
ore-aroma.jp,Blocked - Client Error (Status Code: 403),0.0,['133.18.78.138'],46.0,4487.0,0.007192134857177734,False,
lottomat.com,Accessible (Status Code: 200),0.0,"['104.21.46.23', '172.67.222.159']",62.0,362.0,0.0086669921875,False,
smsm.ph,Accessible (Status Code: 200),0.0,"['99.83.162.94', '13.248.251.78']",57.0,362.0,0.008657217025756836,False,
read-lookism.com,Accessible (Status Code: 200),0.0,"['172.67.159.190', '104.21.9.105']",66.0,362.0,0.008765220642089844,False,
bangbrosteenporn.com,Blocked - Client Error (Status Code: 403),0.0,"['104.26.1.208', '172.67.71.32', '104.26.0.208']",86.0,362.0,0.010787010192871094,False,
kuro-ai.com,Accessible (Status Code: 200),0.0,"['172.67.70.159', '104.26.6.8', '104.26.7.8']",77.0,362.0,0.007766008377075195,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['172.67.179.166', '104.21.31.197']",66.0,362.0,0.0049970149993896484,False,
lauxanh.one,Blocked - Client Error (Status Code: 403),0.0,"['104.21.95.38', '172.67.142.195']",61.0,362.0,0.004954099655151367,False,
zooporn.video,Blocked - Client Error (Status Code: 403),0.0,"['104.21.112.1', '104.21.64.1', '104.21.96.1', '104.21.16.1', '104.21.48.1', '104.21.32.1', '104.21.80.1']",143.0,362.0,0.008489131927490234,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,4487.0,0.01703786849975586,False,
