https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 403,6233,"[('0.0', 6232)]","[('104.21.112.1', 650), ('104.21.64.1', 650), ('104.21.96.1', 650)]",1222
Status Code: 200,2604,"[('0.0', 2602)]","[('104.21.112.1', 228), ('104.21.96.1', 228), ('104.21.16.1', 228)]",1180
Connection Errors,678,"[('0.0', 390), ('3.0', 194), ('2.0', 73)]","[('195.2.84.111', 16), ('a0.nic.bet. hostmaster.donuts.email. 1739285164 7200 900 1209600 3600', 13), ('127.0.0.1', 9)]",1267
SSL Errors,82,"[('0.0', 82)]","[('104.21.96.1', 11), ('104.21.16.1', 11), ('104.21.48.1', 11)]",944
Timeout Errors,120,"[('0.0', 120)]","[('174.137.145.52', 3), ('8.8.8.8', 2), ('13.208.93.252', 2)]",1724
Status Code: 404,58,"[('0.0', 58)]","[('216.58.205.46', 3), ('104.21.112.1', 3), ('104.21.64.1', 3)]",825
connection without response,41,"[('0.0', 41)]","[('72.52.178.23', 17), ('69.16.230.165', 10), ('72.52.179.174', 2)]",3850
Status Code: 502,28,"[('0.0', 28)]","[('193.148.245.145', 1), ('193.148.244.177', 1), ('190.115.31.234', 1)]",2084
Status Code: 500,15,"[('0.0', 15)]","[('104.21.80.1', 3), ('104.21.16.1', 3), ('104.21.32.1', 3)]",981
Dismatch,14,"[('0.0', 14)]","[('162.211.83.127', 1), ('185.156.44.117', 1), ('37.19.203.107', 1)]",924
Status Code: 406,13,"[('0.0', 13)]","[('151.101.65.91', 2), ('151.101.129.91', 2), ('151.101.1.91', 2)]",2892
Status Code: 410,13,"[('0.0', 13)]","[('75.2.37.224', 6), ('15.197.130.221', 2), ('5.61.52.167', 1)]",1570
Status Code: 203,13,"[('0.0', 13)]","[('45.141.10.7', 1), ('83.147.206.185', 1), ('45.141.10.86', 1)]",1984
Certificate expired,12,"[('0.0', 12)]","[('188.166.241.70', 3), ('37.1.197.107', 1), ('37.1.201.27', 1)]",2903
Status Code: 503,10,"[('0.0', 10)]","[('104.21.96.1', 3), ('104.21.16.1', 3), ('104.21.48.1', 3)]",1101
Status Code: 520,7,"[('0.0', 7)]","[('104.21.47.64', 1), ('172.67.145.61', 1), ('172.67.181.193', 1)]",315
(Status Code: 521),7,"[('0.0', 7)]","[('104.21.38.179', 1), ('172.67.137.30', 1), ('172.67.201.22', 1)]",246
Exceeded 30 redirects.,5,"[('0.0', 5)]","[('104.21.112.1', 3), ('104.21.48.1', 3), ('104.21.16.1', 3)]",701
(Status Code: 405),5,"[('0.0', 5)]","[('203.107.44.133', 1), ('52.222.130.62', 1), ('52.222.130.96', 1)]",227
reset by peer,5,"[('0.0', 5)]","[('172.65.210.4', 1), ('89.108.108.43', 1), ('51.38.158.31', 1)]",1977
(Status Code: 202),4,"[('0.0', 4)]","[('13.226.244.20', 2), ('13.226.244.106', 2), ('13.226.244.122', 2)]",109
(Status Code: 526),4,"[('0.0', 4)]","[('104.21.16.1', 1), ('104.21.32.1', 1), ('104.21.64.1', 1)]",317
(Status Code: 409),4,"[('0.0', 4)]","[('45.81.58.23', 1), ('172.67.139.88', 1), ('104.17.104.76', 1)]",532
handshake failure,4,"[('0.0', 4)]","[('45.81.58.38', 2), ('wikicn.top.cdn.cloudflare.net.', 1), ('172.67.152.105', 1)]",328
(Status Code: 523),3,"[('0.0', 3)]","[('104.26.1.81', 1), ('104.26.0.81', 1), ('172.67.74.24', 1)]",346
(Status Code: 204),3,"[('0.0', 3)]","[('144.76.106.61', 2), ('193.108.118.16', 2), ('65.109.24.247', 2)]",586
(Status Code: 504),2,"[('0.0', 2)]","[('95.181.181.62', 1), ('cbpay888.com.w.cdngslb.com.', 1), ('47.246.46.231', 1)]",107
(Status Code: 401),2,"[('0.0', 2)]","[('185.104.211.35', 1), ('172.67.148.53', 1), ('104.21.41.157', 1)]",310
(Status Code: 451),2,"[('0.0', 2)]","[('185.197.162.135', 1), ('45.60.111.67', 1), ('107.154.133.67', 1)]",2245
(Status Code: 302),2,"[('0.0', 2)]","[('23.225.34.170', 1), ('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",164
"('Connection aborted.', BadStatusLine('\x00\x00\x12\x04\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00\x80\x00\x04\x00\x01\x00\x00\x00\x05\x00ÿÿÿ\x00\x00\x04\x08\x00\x00\x00\x00\x00\x7fÿ\x00\x00\x00\x00\x08\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01'))",1,"[('0.0', 1)]","[('178.128.10.165', 1)]",3625
(Status Code: 530),1,"[('0.0', 1)]","[('172.67.160.66', 1), ('104.21.9.155', 1)]",377
(Status Code: 400),1,"[('0.0', 1)]","[('188.40.167.81', 1)]",275
(Status Code: 999),1,"[('0.0', 1)]","[('104.21.90.205', 1), ('172.67.161.42', 1)]",270
or too long),1,[],[],0
(Status Code: 444),1,"[('0.0', 1)]","[('43.129.244.34', 1)]",307
internal error (_ssl.c:1129)'))),1,"[('0.0', 1)]","[('172.232.226.94', 1)]",245
Self signed certificate,0,[],[],0
